Team,PtDiff,Offense,Defense,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Fordham,101.064696594,97.8760448673,102.430795707,100.511058914,98.8750436347,99.7002095293,100.341657174,100.591967195,101.048025742,102.128766401,96.9274554962,97.9044357643
Massachusetts,98.4314008623,101.527777742,96.2063214138,99.8661083323,100.434395039,99.2038169565,100.057189318,99.8064029565,100.512057702,100.267045344,100.697836826,98.4147228161
Maryland,116.504289944,105.328906239,106.891767069,100.67719189,101.9954892,99.3748110186,101.778417599,100.418249685,101.262758452,99.9723585058,99.603955821,102.667648654
LSU,109.2541154,106.549026624,98.9201477236,99.4295926402,102.734370482,100.310672217,99.8771102547,99.7739790504,102.767566753,101.421727626,102.784077041,100.185654443
Loyola-Chicago,96.059670024,91.8106134799,102.68756186,99.0915712002,97.0675892929,97.5927880213,99.2796808257,99.8155835343,98.9180673524,99.1649484533,95.5632555394,102.912968333
Lehigh,95.1094490168,98.3714826954,96.2217793836,100.451796798,98.4931963505,99.68319272,99.5480689001,100.710605416,101.335449309,100.47187074,97.6995542238,102.096118378
Liberty,91.7743767788,89.0644940359,101.898425368,101.030161726,97.1872654081,96.5298166572,97.9191325173,100.758718634,99.628919629,99.3030048173,92.6221430236,99.0869241628
CS Fullerton,94.5132427762,98.6119093889,96.527762833,99.9989021877,99.7503405982,100.052891863,98.2593238101,100.604362796,96.6812764468,99.4862183176,103.191805056,98.0954148941
Stetson,89.5406946555,98.8926422949,91.9371933601,100.331072817,97.8249490785,98.2734939973,98.510910195,100.336409902,99.4743131419,100.088583262,99.2596049872,103.52244964
Stanford,106.331032397,100.475765002,103.991389748,98.536556661,99.7904955805,101.085894421,99.9299550335,99.1847094673,98.967944847,100.612917689,104.486919505,101.930036225
Boise St,105.965992639,104.457332147,99.8531107428,100.892400563,100.50516866,98.9677777187,98.8437591284,99.5744631303,100.218537945,99.7748611924,102.650025111,103.234023875
Auburn,101.039162002,102.013161846,95.9466302853,101.863090226,100.680597081,100.403235331,100.555492121,100.827719653,99.5568707244,99.5383127495,101.713984923,98.5229556919
Austin Peay,94.0613294851,97.5399813714,96.500432746,99.1062343497,99.1698466553,100.279823042,99.4344994885,101.516783256,99.1728954389,101.027213784,101.657407779,102.197328228
Ball St,99.6503136088,95.6069975285,102.869113115,100.787413508,100.389538738,99.2276814222,99.9253646718,99.9572658861,100.614283894,99.9655220485,97.1957819641,99.8140472955
Baylor,113.51346042,104.660667583,104.20002818,99.3862177919,99.9412194939,102.352781341,100.330105074,99.3776617814,104.206178192,101.39334866,101.215712897,101.110070728
Belmont,104.735420359,107.821031865,94.790334867,102.337889846,101.892496731,98.4602708068,98.9655605971,100.62826855,102.945752102,98.8178642985,99.2900624422,99.697322182
Bethune-Cookman,88.2110212462,94.0945974187,96.9008533932,100.025776127,96.8471172934,100.937784043,101.969428314,100.087280108,97.5246760418,99.9008204427,96.8782445242,100.349775866
Binghamton,87.2184796672,86.6563325196,101.455333685,99.1983980118,99.0429762264,98.4241181738,98.7378199594,101.77695684,97.9673950115,99.2278107357,99.1661450921,102.193729166
Alabama St,89.2380162132,95.916877624,94.8650321937,99.6850048386,98.2252137534,100.711806186,99.9101732785,99.476919199,98.2935071225,99.7245691921,98.9764694679,97.6416527705
Albany NY,102.992607783,98.4203581693,102.955665295,99.1681185823,99.547219356,100.125944934,98.2781186918,100.338141564,99.250223563,100.013368696,104.033795735,105.358795924
William & Mary,106.971692709,103.696628819,100.400621563,100.866616625,102.971478452,98.147817195,100.392771671,98.9247052652,102.765265125,99.8773033764,100.055941209,104.221384138
Tulsa,107.558423345,101.380016273,102.358784791,99.5935962239,100.7738434,99.5429920793,99.6652930032,98.6823508708,100.427653175,100.557082041,101.775854383,100.702999706
Tulane,97.7084796173,94.7696072011,101.911675772,99.0512996391,100.545079053,101.351205296,100.323348672,100.852944925,98.5051018717,99.7274468149,97.2913137134,100.383611075
Texas Tech,109.654491715,101.990262474,103.842702807,98.6902639661,100.910945459,100.112560032,100.707323476,98.7746519144,99.8525996791,99.9507408544,101.72748601,101.311977557
Texas St,94.7353634554,91.849050103,103.259039554,97.5571312573,96.8934639045,100.452094296,99.565250674,98.8848799085,98.3170138939,100.261919962,99.0218374321,102.824937429
Texas A&M,117.380768077,103.907325298,107.268749872,100.783995093,101.849453098,101.132529769,100.460367975,99.4563987341,103.649030585,101.312726241,101.64073456,101.74151501
Texas,113.505546698,100.854588926,106.970407237,100.058881461,100.610309591,100.612428829,101.033210458,97.2323643831,99.0640453886,99.4652390041,100.571840228,101.65017937
