Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Fordham,100.747485253,96.9818062779,102.783413219,98.7996401632,100.517461667,98.3663475789,99.7018253921,100.219272592,100.841299875,101.165553531,101.874671766,98.1421746077,99.6419336876
Massachusetts,99.3663504923,100.370669868,97.9529416934,101.004365617,100.165751369,100.538618748,99.0523623461,100.167254306,99.9870131142,100.435069811,100.411560237,100.184259944,98.2118802831
Maryland,115.284524198,105.118093893,105.446504661,98.5618959677,100.982517692,101.955239164,99.0572108656,101.637642582,100.450079785,101.214035608,100.045643481,99.7422226773,103.034126201
LSU,107.115051049,106.161848793,97.8359849175,101.801749187,99.4484073407,101.282408369,99.8087254646,99.7040102829,99.280654541,102.24696721,101.791513935,103.285890481,100.998720421
Loyola-Chicago,97.9121478822,93.6037798978,102.821923219,97.1773272954,99.4527888503,97.7611181878,97.7980536602,99.4429849804,99.8397131592,99.0944791677,99.5050861414,96.4976674205,101.629742401
Lehigh,97.5169918723,98.8241308195,97.8470599553,99.425090379,100.665280017,99.6566512308,99.2195095767,99.6117916966,100.533763248,101.595613629,100.323167811,97.7730216352,103.128716621
Liberty,91.2709678228,91.0128265146,100.154807399,94.9464812804,101.355260245,97.0859921271,96.1579465772,97.9084511772,100.592333969,99.8102429179,99.2671515111,92.7652127153,98.767632003
CS Fullerton,93.5197334092,98.033757236,96.5787819936,99.702312947,99.6848313417,100.271196529,99.9673332035,98.1594722124,100.382585109,97.0647155006,99.1879372671,102.036104575,99.0376191351
Stetson,90.8981882984,100.143407751,91.9323285041,100.479380194,100.567151461,98.6348460781,98.1738840979,98.9596194084,99.8077929928,99.5632896367,99.6295367675,99.3994187242,101.03100689
Stanford,105.738035295,99.9506430664,104.420994103,96.9227621957,99.0521342436,99.7295112335,99.924225176,99.7481644558,99.5736139355,99.3789934067,100.597599639,103.607819471,100.691594011
Boise St,105.99646495,103.85700898,100.881358216,99.388394494,100.720525839,100.04992957,98.8616855968,98.9133731717,99.8565202166,100.327337055,100.075219812,101.775150069,101.45648463
Auburn,98.8144797639,100.066906179,96.73065069,100.471598374,101.19431812,101.184830224,99.8386588541,100.710004059,100.945548432,99.196102504,99.6179878725,102.025086386,98.1772842157
Austin Peay,95.493969559,99.516334266,95.6377461545,98.4828241285,99.1336435653,99.1208430187,100.000645189,99.4404384337,101.275269399,99.3419344885,100.709152633,103.119704824,101.800903404
Ball St,99.9950256619,95.7671229433,102.751015854,97.6640520798,100.779478755,100.783950906,98.7596244179,100.095579602,100.277714113,100.240771649,99.547225831,97.6387837886,100.168208431
Baylor,114.675933184,105.304179891,104.421888827,101.128740399,99.533737081,99.5332122856,101.917196754,100.57897221,99.4392874478,103.160039503,101.285636924,101.483844295,100.927386523
Belmont,102.61544844,107.262562158,93.7240348695,101.511835553,102.575111745,100.61749827,98.2293132011,99.0333189033,100.584231031,102.857518763,98.9793397538,99.0323323782,99.1743225401
Bethune-Cookman,88.3310897941,94.2627807716,96.590181851,101.343943581,100.061951937,98.1013545135,100.969990774,101.877725629,99.623040076,97.6395719315,99.7920328811,97.4596537644,100.802878238
Binghamton,87.8739422373,87.4422647943,101.329104838,96.1344745773,99.004985963,99.5533776739,98.5568708327,98.7568028559,101.500886702,98.2310834119,99.1888986659,98.831364173,101.879787618
Alabama St,90.2258741675,96.2378770129,95.4519599585,103.969420522,100.102895454,98.2570679765,101.257544313,99.874396677,99.2292466912,98.4461209437,99.7109722923,98.0731725403,97.2314264489
Albany NY,103.090576612,97.9571185589,102.897066513,97.2022602295,99.1705069154,100.203771524,100.380093195,98.121246858,100.447228368,99.0734830268,100.013218095,103.071658964,105.02283594
William & Mary,106.168834846,103.933881009,99.877281813,99.6232099419,100.855162338,102.388981042,98.4381954228,100.054196445,98.9932409116,102.427421562,99.9062936004,100.553944618,104.022669318
Tulsa,108.403765842,103.024327524,101.874580666,99.8905297859,99.7494063568,100.663356311,99.3555969438,99.5743104572,98.7217388735,100.554261301,100.47431004,102.131216732,101.15753589
Tulane,97.9625804933,95.4119232652,101.572062132,100.760129653,99.2917182436,100.603152068,100.735484707,100.208336741,100.489015311,98.0490890576,99.9577410257,98.0606686034,99.8074930083
Texas Tech,110.830744962,102.662863411,104.147317948,99.2694108787,99.15378656,100.209687102,99.958530702,100.640231749,98.7725618642,100.275801148,100.166585965,101.989921032,102.089454228
Texas St,96.3551409544,92.4884209848,103.938365767,98.2676980894,97.5825345457,97.5382441716,99.9234504646,99.4837805602,98.8139661132,98.5575182953,100.294304275,98.6162631491,102.375933597
Texas A&M,116.605924281,103.579821419,107.153485737,101.472809313,100.603006902,101.131545588,101.102545531,100.675036605,99.0877355633,103.100469739,100.960027589,100.543171436,102.941306874
Texas,113.07473523,101.047438162,106.483266947,100.593545015,99.9517303208,100.354139746,99.9627878426,100.624816407,97.2822981551,99.1692794692,99.4623085038,100.323444292,101.377185214
Troy,91.9110123699,96.2283080291,96.3830592787,101.477142409,99.3815214461,99.4415179766,100.358861411,99.352993262,99.0750100921,98.2135160588,99.9819128891,100.320757845,100.720012899
Towson,100.943066291,98.4748866678,101.419476145,99.7658991762,99.1870689415,99.1085996885,103.040641334,100.636519903,99.9174167013,98.4779533975,99.6544326078,102.672801545,100.431815834
Toledo,103.304716664,102.300938642,98.8853380092,101.434091652,100.854715903,100.88439639,98.9674894145,98.8105663297,99.0044587522,101.587188907,99.6013955083,98.4352470861,103.566588732
TN Martin,95.5400851001,97.1903554252,98.0362933493,99.2167043278,100.199001897,99.8321724167,99.4377220634,98.5306881195,100.001813751,98.4651501049,99.4872298646,98.6637709538,102.281375385
Iowa,116.001443216,106.782649945,104.416257697,102.975654947,101.238457202,102.133891288,101.184104661,101.185314115,98.8035967855,102.371420152,100.912949405,100.753732471,104.162626849
Iowa St,115.411319587,111.0612968,99.7845072316,104.775372884,101.073537287,102.313722622,98.9371868273,100.789871934,98.3309450399,103.152838334,100.32631215,96.2214106367,105.115198357
IPFW,102.05065518,104.370345749,96.541624795,101.592003373,102.922074901,100.923877702,99.4140460253,99.5201742212,99.434037142,101.688518737,99.6576515952,99.4895763246,102.08010662
IUPUI,95.7485030798,96.5441585626,99.2731483845,100.749247944,99.3011375481,99.5234337677,99.5229267856,99.0234112275,100.522858954,98.3653260827,100.667554352,98.1355888307,99.733657987
Portland,97.2648334468,103.924460856,93.821882006,104.196163616,101.419199835,99.3672459958,100.937185329,100.462837064,100.478443777,99.9296712254,100.254089528,98.690901871,96.7694710665
Pittsburgh,113.191208823,103.611574483,104.788574522,100.387573836,99.7850817781,100.823987796,101.525182444,100.092353674,99.2170465076,102.190226188,99.3190382584,100.651086317,103.074987604
Indiana St,99.2326751353,97.8802449853,100.84231497,100.850039874,99.6106509172,101.380727879,100.480399162,99.3267505319,100.392698109,98.5004651204,99.9282134659,102.442599777,97.5380041012
Iona,105.138882388,105.236072048,97.7437360528,102.343458261,102.716370783,101.173113899,99.4273996842,100.487762972,100.269625175,103.131260248,101.084951245,98.5923528058,99.22623512
Penn,94.3614497274,96.422139567,98.2105475051,99.3784997117,100.316596219,99.8341210896,99.2877499897,99.122808867,100.657755136,100.269536582,99.1333956921,98.3483593563,101.476813085
Pacific,96.1677509288,96.4227545352,100.046161276,97.1799438728,99.6384363,100.057063661,99.1260826017,99.0880799594,101.030413556,99.175678294,98.6064669211,99.6930647222,95.4813485552
Pepperdine,102.359238228,99.885964046,101.434287297,99.9394224262,98.2114924534,100.7450354,100.000234029,99.4587391155,99.4935507208,100.897256771,99.8574406211,101.141090267,101.075801093
WI Green Bay,102.267674082,107.978932223,94.7471152513,106.485521627,100.398237876,100.247561113,101.56264934,100.71398604,99.6139020976,100.452547094,102.529846093,102.8488424,98.968775314
Oral Roberts,98.6869429275,101.220841654,97.6896408597,99.7302767778,99.24056062,100.118338611,99.0805629177,100.514771558,99.6161571108,99.4460058619,99.3860610908,100.250157675,101.273903923
Jacksonville,92.0994625478,98.3750484006,94.2994019678,102.437880881,101.249441052,99.9995262483,99.0955841538,99.1467604662,99.2708313472,98.4161617477,100.132241606,98.2648377326,100.491783815
Oregon St,108.853267853,102.478169357,103.465758402,99.4415621041,100.009033584,100.682090519,100.021914025,100.194321114,99.4600621121,101.069182056,101.090884107,101.31680875,100.564499765
Oregon,115.741124727,107.59049616,104.104660649,100.688664534,100.097438229,100.641942205,100.839056141,101.967863635,99.350932969,101.089168149,101.217985313,102.345753199,103.164738007
Wake Forest,103.594879768,103.275132378,97.7328522686,100.050616289,99.4295285927,102.015509526,100.96336182,100.997292531,101.699420064,100.840299084,100.300521453,104.27568667,99.2341152455
James Madison,106.067980837,99.2394856705,103.241312384,99.3723086161,101.357661438,102.251767051,100.23622945,99.4075263078,99.5078800731,99.2333691162,98.6810480635,100.238787202,100.013926284
Jacksonville St,90.9600671458,93.2787571253,98.6674699639,100.250549838,100.421450018,96.457937955,99.0661449077,99.3185643815,98.3764833936,98.1567743108,99.1752940778,96.5335412072,98.8501548918
Kansas St,110.584976553,100.410816465,105.552612582,99.9999854018,98.5255603448,99.536053389,102.217951713,99.6448238336,100.399098156,100.943688282,101.373901729,101.867831699,100.183386131
Kansas,122.022157102,109.107178792,106.274022615,100.944429919,101.085669816,102.911507998,100.155660386,100.688847981,99.3986345603,102.348083475,100.740735692,101.102273025,100.785044464
Kent,98.6740917718,99.2227722156,98.6260995608,100.731824898,98.8626938996,99.6205628184,101.491565833,100.022197874,99.7555369518,98.5229264271,99.3435838562,101.55739645,101.014832069
Kennesaw,92.6330717998,96.9458492427,95.4950345706,100.55483162,99.2838872306,98.0485348442,99.4941559861,99.733043082,99.9582765199,98.8380688828,100.654329088,98.9837859006,98.5269177003
La Salle,92.4734187345,94.6102062541,98.6772798796,98.3841517173,101.37640133,97.785869531,98.6847398293,99.8155569582,100.38851691,99.7381973977,100.877083028,97.4264035543,101.01338464
Kentucky,118.152596478,108.386813108,104.883240271,101.224488395,100.011299103,100.987875473,101.234418996,102.082675192,98.6049378751,101.526331747,99.8894924891,101.324574421,98.862278301
Lamar,87.1731108661,97.9255735678,91.8030774941,101.629273155,99.5726937483,98.3101812587,101.391481392,99.9370561552,101.099595909,99.3706636563,100.75694625,102.030505471,95.9120640031
Lafayette,87.4741031454,96.3445910567,92.5630691058,99.2197813643,100.969762041,98.4644130599,97.7515366513,98.7326680991,100.152786679,100.379107021,99.4933398057,97.5633909159,100.010222892
VMI,89.0551090679,93.8798184616,95.2225649885,103.120517035,101.383007258,97.1352560938,99.6600020469,99.8752992558,99.6900913893,97.8836073298,100.423595965,94.4278030146,98.4759365529
Florida St,110.720702769,106.675572352,100.55619959,102.181807733,99.9460634442,101.466422319,100.795741452,100.743153231,100.500260957,100.48462771,100.896331076,103.092435159,99.8162109713
Florida Intl,95.1087186824,95.9356313498,99.4650905126,97.0680822881,98.9392137195,100.055430475,99.0531024384,100.725191847,100.35221068,98.3430797589,98.9371282052,98.4561998554,100.197456813
Evansville,107.184831631,101.854298863,102.314797847,97.0119380491,98.0435914246,101.288401251,97.6552203344,100.683977572,99.9504962166,103.290778503,99.3681485787,102.46043098,102.903907549
ETSU,100.492548582,101.109019462,97.4121643142,101.629418308,100.839701666,98.5853986709,99.7305716032,99.6805771555,99.3336492254,99.0491779967,100.604653512,98.5687454037,98.1698500005
Fairfield,98.0611635967,101.007268609,95.2468832313,101.898700194,101.689235775,100.402853485,98.3891392021,100.114291813,100.257553622,101.693685314,99.9726029449,98.1887141276,99.7404430041
F Dickinson,91.802332529,101.034788349,91.6812946108,101.793673208,100.617189159,97.2603894274,99.5047218095,99.0559542179,100.016216114,100.498054027,100.946143928,99.575587644,95.228403194
FL Gulf Coast,98.42322042,97.4348194222,100.779229412,98.7366115644,98.2990200712,100.715259678,99.5882452386,100.193143442,99.6063383662,98.5903443094,100.087677294,99.5886863446,99.0876719533
FL Atlantic,90.4164068692,93.7384268567,98.15204675,98.64503291,99.5867738862,99.2574371914,97.9358412567,100.7041174,99.7810831781,98.3714002256,99.5380775859,97.9988647519,99.1338076944
Florida A&M,80.7280800016,87.6886763599,96.2405608476,97.0928240458,98.7468062876,98.2068383594,98.5262912046,98.770286578,102.555436005,97.0331226183,100.474256404,100.357529137,99.512870079
Florida,112.848602109,102.994182212,105.051921624,102.181222009,100.048619648,102.403795204,101.658527094,101.041919016,99.1668986802,100.760299847,100.671065534,102.600567184,101.042906555
Minnesota,98.9156697588,97.8446256322,99.7136519934,99.7631489722,99.3616504834,100.373326573,99.4966258846,100.448854881,99.5005329059,99.2994559929,99.9042950171,101.431837158,100.320994538
Mississippi,106.836370657,103.193045559,100.42432268,101.634581512,100.71304988,100.061887897,101.606431358,100.000931538,99.4095237083,100.340398057,101.442443537,101.870282406,99.5050653681
Delaware St,81.0776581483,88.6073285505,96.1839448399,99.3437330652,99.8749019493,96.604869694,99.5809457786,99.3372757921,101.24308726,97.9862087425,99.6579106196,95.9045650299,99.2983805216
Delaware,92.2863783733,96.0506936815,96.4503441147,99.7745973285,99.3212204434,101.598714001,100.833825195,99.5946537349,99.6310775479,98.4859277722,98.1413475943,101.895977996,101.78767676
Dayton,110.071972168,100.556123638,104.968883207,98.1906506598,99.8349717722,102.523609033,99.2170196435,100.79051949,100.282331173,100.829537864,100.25344643,101.673502313,101.735695771
Davidson,104.34727736,105.854384671,96.0060141594,103.106309623,102.312288966,100.658043957,99.1593402627,99.7774009782,98.3172193001,101.371623472,99.1583064721,99.6659519366,101.730682952
Dartmouth,95.6136415284,95.4145421132,100.043536492,98.5262464358,99.1083842042,97.9777943934,100.447604937,98.3111918759,101.761755382,99.5316418679,100.221834841,100.6142604,99.6480781919
CS Sacramento,92.3219132693,96.5556864378,97.5801527619,100.176813337,99.71230603,100.196575372,99.1739512353,100.149748522,99.6135074897,99.9811931107,99.3981884851,98.6848308783,98.6267555587
McNeese St,87.0027902604,94.6753236924,94.4725001111,100.890481315,99.7415103575,98.7698496618,99.699056466,100.467869258,99.2084677711,97.4735616447,99.4672282593,99.5064502647,99.915608949
MD E Shore,88.1981592707,94.5047414198,96.4121301607,97.1098060732,99.3419709366,97.5112100483,99.465833526,99.0049782315,102.395218657,98.8570687295,100.015265113,99.1872383414,97.4999569862
Memphis,108.04999492,104.540401846,99.8639531938,103.445148074,98.9817646981,102.245729741,101.16296016,101.496282301,99.8424654368,100.96879274,100.784876904,104.144891706,98.2701966245
Mercer,98.6228886038,95.1050817294,101.652056017,99.954171113,99.6571122345,99.2258133077,101.22350942,98.672691633,99.2780107932,100.625594437,99.3155827964,96.4968721145,101.380405401
Miami FL,116.958428294,105.010760511,105.992286864,98.7670358538,100.105091104,101.360809286,99.8023617449,100.483314152,98.4830045028,100.337208071,100.162566476,102.625730186,104.349559358
Miami OH,94.137505186,92.1539865497,101.789937765,97.6120352373,98.9010736271,97.8987484881,99.4296428723,99.0909258003,100.084767889,97.4220831713,100.543590296,99.1795997881,100.854001757
Michigan,112.108296447,103.128296939,103.712296545,99.1466381599,102.18576594,100.305676821,97.6797326878,99.1973248613,98.0628434749,101.330188467,99.7212290409,97.1060810349,104.501459492
Michigan St,121.62423686,108.262558185,106.552384898,101.467593954,101.769184789,104.066776634,100.946347277,101.608141053,99.4292439398,106.67135897,98.9269754007,98.3835766893,101.15264334
Montana,100.36994972,97.8288086015,102.526921301,97.1522029781,100.181723521,99.4516282669,98.8149145577,99.0959996198,100.082098857,99.6370522807,99.1379650967,98.6588616852,98.873607417
Monmouth NJ,107.114488894,104.822336541,99.4193107394,101.710292751,100.959469643,102.153304531,99.3268412717,100.337526757,100.232019887,99.2845447966,101.420384487,102.055308784,98.4538718505
Morehead St,101.486234232,96.3076580567,103.065832396,100.909378084,98.981335922,96.9864881555,103.318657318,99.1661176598,99.9144830367,99.52777746,101.169265081,99.0332600243,96.5683667895
Montana St,94.3105890258,100.5639305,94.383455655,103.421892943,101.906988845,99.1417100148,101.47228927,98.784224408,99.9102644779,99.3727774928,98.8631619527,97.7355682661,97.2150544876
Missouri,100.815578351,99.2082563112,99.4473645845,99.3804921066,98.8045784459,101.480991431,98.8881367695,99.483284253,99.5648088754,99.1570134788,99.7579204367,100.398398258,98.8928671684
Mississippi St,106.864351242,103.160986902,100.513347993,102.417122267,100.084947061,100.384214972,99.551831245,100.765057003,99.8400171293,101.00272459,100.532288983,97.1395901956,101.177795904
Missouri St,95.3176772441,96.9938987423,97.3575540423,100.221769594,98.8102059881,99.8405442791,100.03163058,100.384662571,100.276869223,99.9636456244,100.210426756,101.318256872,100.996215499
Missouri KC,94.7192832669,97.4587300038,98.2323223285,98.6869793184,100.025872602,98.7448204121,100.137853526,99.8635546043,100.630603314,98.3989337218,99.7730312313,98.9650587969,97.3862883833
