Team,PtDiff,Offense,Defense,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Fordham,100.527184991,97.2867702611,102.11307006,100.479536671,98.69898956,99.5352228121,100.412556409,100.781105213,101.138648906,101.928482901,98.3109505771,98.8881017187
Massachusetts,99.1318990543,100.758630601,97.1557868005,100.107951917,100.100008918,99.2796342276,100.011620663,100.091162029,100.628050559,100.509336361,100.292922243,98.1783028865
Maryland,115.354224896,105.294600736,105.583151527,100.590861165,102.206011536,98.7342971711,102.041159217,100.453614026,101.029996904,100.183911948,99.9872467644,102.938476585
LSU,107.96686502,106.547993022,97.6790271365,99.52609656,101.570988624,99.7892006275,99.8158359814,99.374828361,102.534621517,101.616854577,103.572218775,100.601710093
Loyola-Chicago,97.962860988,92.8500812945,103.365413596,99.0704295987,97.7072656723,97.8665270282,99.3843866925,99.8693257935,98.7954054539,99.3445067758,96.3981650675,102.09013834
Lehigh,98.035487277,99.0212555656,97.8258515641,100.62582171,99.6488946269,99.125250669,99.6004530483,100.635489911,101.694916807,100.506272791,97.865727896,103.269399326
Liberty,92.0951497246,91.1762270213,100.560547781,101.284553646,97.2731603375,96.2158069862,97.8484384567,100.42738147,99.9057856361,99.1492167795,93.0089863745,98.3524684682
CS Fullerton,94.0324027564,98.4766498599,96.3805974146,99.8662561772,100.175771023,99.9511256174,98.140778598,100.376746776,97.1329466531,99.1918409711,102.285168382,98.6485835717
Stetson,89.1839286836,99.6805320037,90.7921108588,100.470749435,98.3547479305,98.0990266879,98.8338337498,99.8223775582,99.445396676,99.7502656654,99.2932941118,101.625614193
Stanford,107.455832449,100.328608902,105.324104056,98.954417525,99.8056058863,100.133325705,99.8543438406,99.4710701408,99.3984590005,100.660370388,103.709640371,101.074339744
Boise St,106.508309193,104.298704501,100.603674602,100.773516067,100.168052414,98.8892622612,98.9337334116,99.7125941696,100.431901296,100.023008262,102.047490887,101.799800888
Auburn,100.209260098,100.702493477,97.0862592493,101.374458688,101.487616455,100.045033055,100.686769628,101.037993122,99.4373251344,99.5344675926,102.105258227,98.5571078277
Austin Peay,94.1693821221,98.5596251768,95.6420878153,98.9161814339,98.8758575285,100.011378579,99.4765033381,101.192256983,99.0453602023,100.8824259,102.786878062,102.000346873
Ball St,101.348118953,96.2734836799,103.070198928,100.857130174,100.867361896,98.8185019564,99.9890768502,100.351826361,100.525924524,99.6441281709,97.9077885639,99.5603193659
Baylor,114.170345587,105.645535155,103.626897318,99.4060755306,99.3582902637,101.833191418,100.528547717,99.2143176781,103.90470887,101.380456039,101.358011722,100.907559053
Belmont,103.160621954,107.397212723,93.9110816199,102.62206638,100.943854507,98.2062450447,99.0755697037,100.509032935,102.806755855,98.9375281243,99.2969199901,99.1057756207
Bethune-Cookman,88.7648410992,94.7300286149,96.5198368955,100.120452414,97.8134110819,101.012377249,102.01015001,99.8666672416,97.8157131784,99.8566518348,97.4847441874,101.123797642
Binghamton,87.9005733364,87.7301871696,101.118981171,99.0304071172,99.4855804681,98.6065194229,98.8040058662,101.458263829,98.3006739441,99.2164192061,98.8144204518,101.94018587
Alabama St,90.6582697628,96.3300442925,95.6952590856,99.7319642559,98.3590674844,101.543822666,99.8359176477,99.0887496002,98.1959351717,99.735594096,98.6779088775,97.5223601693
Albany NY,104.115790605,98.6297882835,103.023706891,99.124591579,100.4600328,100.317980032,98.2019509999,100.466870382,99.2362504127,100.038382,103.380908354,104.994959395
William & Mary,105.888250211,103.994382028,99.5571131421,100.767231513,102.549247789,98.5452055594,100.144978124,98.8546868354,102.601317874,99.7504253539,100.572211618,103.767874909
Tulsa,109.569376373,102.871775278,102.8321056,99.6385124199,100.638543789,99.3056466452,99.6261637165,98.5692414104,100.525391819,100.66584099,101.869829423,101.233553546
Tulane,98.0028644237,95.5475745672,101.3791523,99.313878491,100.67914249,100.799872066,100.166713839,100.70388316,98.2546401007,99.7570761627,98.03888343,100.207382907
Texas Tech,111.681626905,102.568647882,104.890096166,99.0547482467,100.546849228,99.9637293967,100.786720906,98.703946481,100.240058201,100.277502905,102.497937997,102.059280113
Texas St,95.2694391545,91.9297661582,103.554436887,97.4029070327,96.7583070856,100.251814069,99.6560223997,98.8847901649,98.1766332019,100.343090631,98.5547603194,102.874821432
Texas A&M,115.673572057,103.391940977,106.597049495,100.682806616,101.172440229,100.648813707,100.495021333,99.2230307085,103.352852808,101.009557222,100.737641053,102.648205109
Texas,114.104701791,101.548944797,106.873074354,100.025011295,100.572932366,99.8070227162,100.615097677,97.2100564452,99.1566582963,99.3909644488,100.601228857,101.62913535
Troy,92.9021923215,96.9853772914,96.4214834377,99.4166400496,99.6386230021,100.10716386,99.3410906785,99.1459111451,98.4850537798,100.164883571,100.115653326,100.522993057
Towson,101.317643673,98.6743757491,101.510245582,99.0495918592,99.2779858854,102.87218198,100.746424706,99.9097313706,98.5549720155,99.6641251211,102.95749302,100.59781453
Toledo,104.31653969,103.306488205,98.7769935961,100.870310098,100.959191617,99.2367749577,98.8114371132,98.4974009976,101.862165809,99.5671583398,98.8330071724,104.060725141
TN Martin,95.4893355495,96.7534429508,98.387577495,100.039910795,99.7746127447,99.3780308661,98.4099327369,100.043877308,98.4654496943,99.4991938343,98.6172375739,101.950995865
Iowa,116.592579458,107.41929114,104.207782846,101.146885421,102.111872384,101.037728869,101.38648932,98.6620251336,102.11737508,100.878782783,100.901118922,103.972922418
Iowa St,115.486282413,111.761597371,99.3844771944,101.139607722,102.059641658,99.028126039,100.807111395,98.0916252421,103.197135389,100.521375094,96.1991363656,105.388953314
IPFW,101.867839278,104.293266324,96.4417352062,102.622667179,101.030012907,99.3299913591,99.6538481497,99.2374797412,101.624149376,99.4606628679,99.8853191056,101.963763745
IUPUI,96.2045879365,96.8116780362,99.0980496483,99.2715021788,99.4640486895,99.5896054682,99.028022344,100.529180125,98.4780529013,100.666429471,98.032546858,99.9204138706
Portland,97.6804053483,104.090601104,93.9835619253,101.357449181,99.4402693673,100.865053477,100.458158479,100.430233004,99.8767798335,100.362161358,98.664690417,96.7999577571
Pittsburgh,114.14442054,104.199144213,104.741870932,99.8698689398,101.026892863,101.831577152,100.236619004,99.4004169665,102.707373502,99.1400604042,100.546946074,103.270930549
Indiana St,99.7455224542,98.3225412036,100.495555151,99.6566949336,101.329392179,100.432975512,99.2916457336,100.409892676,98.6412477226,99.9050130347,102.303352595,97.2908832111
Iona,104.422066348,105.372070014,96.9027658344,102.50625716,101.158031413,99.6516108291,100.486807983,100.47839573,103.083288404,101.099988019,98.8721203165,98.9551959285
Penn,94.1928831633,96.4856981175,97.9871053237,100.307009984,100.18106361,99.2073772256,99.0239360587,100.608134185,100.234157246,98.9468550509,98.6827842051,101.001270595
Pacific,96.2604709156,96.4625019831,100.072198372,99.5551062179,100.057661586,99.2022016389,99.1027246193,100.983411321,99.139921784,98.5962745913,99.7543679585,95.4078326184
Pepperdine,102.735860736,99.52144254,102.17539373,97.9668370714,100.903475531,100.000020526,99.6018091693,99.5496684051,100.930202765,99.9433034192,101.081279006,101.068009174
WI Green Bay,101.514441352,108.280405413,94.1417909738,100.311136688,100.149387274,101.827567866,100.741948793,99.7346721163,100.662053982,102.488298418,102.304315782,99.2909769098
Oral Roberts,98.791055859,101.198817398,97.779277152,99.1264568445,100.286625479,98.9474203347,100.473167984,99.6581784093,99.281461467,99.3426727887,100.382547278,101.574643692
Jacksonville,92.4718033593,98.4213581361,94.4547019422,101.117887208,100.271981783,99.1538589343,99.194988394,99.2189070605,98.5081381074,100.069199961,98.2677679386,100.61497714
Oregon St,108.731265075,101.872808533,103.933933462,99.7248397453,100.295904418,100.296434085,100.216292985,99.3657535853,101.155765081,100.984690126,100.881732124,100.728992384
Oregon,114.273999964,106.989779966,103.323037811,99.9736632047,100.552057636,100.565221426,102.014820302,99.3175303653,101.18627073,101.029659579,102.083633825,103.220058599
Wake Forest,103.54455006,103.346677025,97.531444478,99.2554268246,101.915588275,100.911250324,100.976718039,101.452579984,100.742247796,100.319475463,104.445790564,99.4126233249
James Madison,106.736970863,99.4717502141,103.514201782,101.284953277,102.482342603,100.103229681,99.4596941517,99.4387667055,99.2233634322,98.7058439254,100.301343983,100.130234446
Jacksonville St,91.270975001,93.3617049931,98.7730610667,100.328693347,96.6007386201,99.076328117,99.3109866459,98.2775810407,98.175499753,99.1572481,96.6486285368,98.8133377456
Kansas St,110.637997597,99.6012249625,106.291200969,98.2405022891,99.5975053415,102.253818377,99.6649908571,100.389225445,100.782846912,101.402298417,101.878695002,100.322760114
Kansas,120.648758647,108.226906409,105.894112439,101.009666662,102.63296437,100.180347448,100.654564792,99.4516917617,102.2462253,100.500454934,100.957104493,101.12788505
Kent,98.9547057308,99.86433883,98.24564156,98.6465552778,99.6959011977,101.303141964,100.1152277,99.585290294,98.4704781899,99.4505463147,101.879034228,100.815175242
Kennesaw,92.92916461,96.9460089109,95.5952443072,99.2192138351,98.2418049546,99.6425951013,99.6994346082,100.020927482,98.8349793356,100.603168689,99.1156070758,98.5130735874
La Salle,91.7815571425,94.1845710913,98.3695773864,101.30648265,97.2591984109,98.512077825,99.6712708234,100.306612281,99.8050240602,100.90040515,97.0055653756,100.868264834
Kentucky,117.504791904,107.063103928,105.872827051,99.6434305321,101.369459902,101.44959455,102.112261213,98.8469818826,101.145105637,99.9520186217,101.132690377,98.832779398
Lamar,87.7499333198,97.9910879539,92.2486452291,99.5365035985,98.4351415329,101.618141532,99.9093282867,100.839857554,99.2992439507,100.585841227,102.144405225,96.5105963836
