Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Abilene Chr,19.73,23.02,50.51,21.74,38.8,24.56,17.43,38.09,65.31,57.57,65.1,42.05,47.01
Air Force,36.48,47.95,43.68,28.1,64.87,53.06,39.21,17.02,58.42,71.7,42.02,62.23,80.42
Akron,66.27,66.15,59.55,41.75,88.3,46.78,41.84,48.06,36.38,70.56,33.2,50.36,68.65
Alabama,80.89,42.83,92.14,34.26,39.48,74.61,71.55,82.24,61.67,44.71,59.2,67.17,61.79
Alabama A&M,2.34,9.38,19.02,38.64,9.2,14.02,55.32,18.11,47.75,29.84,14.0,51.91,58.95
Alabama St,8.04,16.88,29.47,67.91,31.95,42.03,84.49,42.39,73.08,13.04,30.93,49.67,28.83
Albany NY,56.12,50.02,70.21,36.77,27.59,43.99,60.46,12.17,43.94,50.74,32.19,50.43,73.03
Alcorn St,25.72,25.93,48.82,60.87,35.21,55.97,67.73,47.49,60.09,43.0,60.67,39.22,40.49
American Univ,18.21,13.94,61.34,17.76,24.85,22.8,15.85,28.26,56.59,32.51,66.04,31.3,42.52
Appalachian St,25.41,49.06,30.93,69.1,62.55,59.45,70.66,40.89,66.4,56.01,40.6,62.26,28.23
Arizona,93.41,77.52,88.57,23.95,38.73,80.94,53.6,62.18,43.12,67.44,41.65,79.57,81.06
Arizona St,58.07,80.79,36.96,67.86,82.54,49.36,36.53,64.27,27.45,53.28,50.9,55.06,74.49
Ark Little Rock,33.09,19.27,74.1,31.94,23.5,31.06,43.01,56.5,52.15,26.35,43.86,30.76,57.74
Ark Pine Bluff,4.56,8.05,36.24,34.03,35.08,11.55,53.83,37.73,90.33,18.41,80.26,32.8,12.94
Arkansas,85.58,89.39,61.73,73.53,36.89,62.94,65.48,88.21,31.48,73.88,81.95,76.42,47.25
Arkansas St,59.0,56.54,62.38,43.86,41.16,57.88,63.0,34.44,49.21,45.87,42.0,75.91,41.31
Army,34.84,50.98,36.74,71.71,81.21,70.56,46.2,15.37,72.46,82.64,34.78,30.42,56.66
Auburn,70.0,89.3,39.01,77.62,71.53,63.97,67.01,88.78,61.21,63.08,80.41,84.38,41.9
Austin Peay,22.89,63.0,15.5,52.41,49.68,27.29,31.24,32.12,44.86,23.59,36.74,71.13,64.56
Ball St,50.34,62.47,38.57,57.78,78.69,67.89,42.47,55.67,78.19,71.6,41.49,49.81,45.25
Baylor,94.58,70.46,95.28,48.73,44.51,68.9,79.79,85.42,45.93,88.45,45.38,50.27,83.5
Belmont,71.56,71.37,59.76,58.64,84.99,71.79,31.49,34.69,46.98,84.99,27.37,29.91,60.47
Bethune-Cookman,8.47,24.54,23.12,70.72,35.25,17.04,54.65,36.22,49.0,46.85,69.73,33.04,38.66
Binghamton,17.1,21.43,50.45,32.43,58.43,48.41,28.52,22.91,51.19,39.41,25.44,33.05,65.59
Boise St,67.22,73.49,54.86,40.02,61.09,69.79,46.64,33.4,56.43,48.47,30.43,78.36,41.48
Boston College,46.09,65.07,46.23,61.91,64.65,72.89,31.81,42.85,75.78,77.15,45.63,40.44,47.16
Boston Univ,46.12,51.97,51.43,60.29,71.04,53.22,53.77,27.81,71.62,57.28,73.33,51.25,47.16
Bowling Green,32.96,51.05,36.29,68.77,45.98,46.57,61.9,33.11,48.47,40.22,58.0,58.75,66.61
Bradley,35.55,36.67,62.82,20.51,33.65,65.38,34.84,59.95,76.27,35.82,56.75,70.38,40.89
Brown,25.67,67.74,17.44,40.04,69.13,18.37,37.06,12.92,75.55,55.67,72.58,78.09,38.97
Bryant,24.68,50.03,29.06,62.98,58.32,45.51,50.59,16.66,53.01,68.74,60.47,48.29,40.58
Bucknell,75.36,72.52,64.93,54.27,71.05,59.41,35.39,58.75,56.12,74.98,67.42,55.57,60.52
Buffalo,59.3,66.39,47.37,69.25,57.34,78.85,75.14,62.56,72.05,65.81,45.14,71.9,28.44
Butler,91.75,80.28,85.51,39.33,63.69,48.0,33.69,45.61,18.49,58.57,58.0,58.5,65.06
BYU,76.17,89.7,47.03,76.81,46.31,91.72,57.57,80.63,78.02,84.63,68.94,85.47,50.95
C Michigan,36.33,90.41,6.42,93.79,95.43,61.09,61.44,36.19,27.26,29.37,28.82,63.1,43.02
Cal Poly SLO,18.86,32.55,38.41,57.52,63.81,31.09,45.66,55.83,29.53,25.3,32.21,39.07,42.35
California,80.35,43.07,91.82,34.28,37.44,85.31,67.09,84.74,56.22,46.14,26.54,61.82,72.45
Campbell,24.03,28.18,48.81,19.35,49.59,33.52,16.16,58.12,54.41,20.29,53.76,45.6,42.8
Canisius,46.5,73.61,32.54,74.22,82.43,21.2,59.11,16.57,56.87,91.71,69.37,41.53,63.02
Cent Arkansas,17.58,59.16,12.09,77.04,45.88,63.21,61.73,36.53,50.27,72.42,45.35,61.84,60.14
Central Conn,7.14,14.05,36.99,39.03,20.99,16.53,62.61,20.16,62.79,35.95,45.24,39.35,65.38
Charleston So,17.85,47.38,20.13,62.9,45.58,34.79,45.61,43.21,28.86,25.4,30.01,58.84,32.05
Charlotte,32.52,65.73,22.2,63.88,56.85,51.6,18.31,50.43,52.48,44.06,51.32,59.67,47.97
Chattanooga,66.14,52.66,71.41,36.52,46.13,18.33,56.24,78.94,57.86,37.77,75.14,59.53,55.03
Chicago St,10.3,19.23,33.23,61.38,40.15,41.58,50.92,30.15,53.6,27.09,58.47,31.9,57.6
Cincinnati,92.97,67.44,93.09,63.86,45.97,60.92,76.29,86.21,21.34,79.85,71.21,51.65,85.7
Citadel,23.04,87.35,4.46,96.22,95.08,37.73,75.11,27.05,68.9,82.72,78.2,64.57,13.7
Clemson,84.49,77.32,75.69,56.26,58.09,50.36,55.79,71.02,25.53,58.6,77.31,62.13,92.54
Cleveland St,30.12,22.05,67.61,50.85,48.02,19.82,61.4,39.91,51.07,24.81,67.35,44.29,47.26
Coastal Car,40.29,47.79,55.84,79.78,70.0,75.4,72.11,35.81,48.35,38.19,42.92,27.26,64.11
Col Charleston,72.97,39.32,85.3,22.43,31.94,62.97,36.76,56.65,31.25,20.66,44.34,70.12,77.18
Colgate,24.97,23.14,56.88,20.22,67.24,38.14,26.06,30.55,71.72,47.57,30.6,44.8,45.85
Colorado,75.72,76.22,66.17,49.55,48.77,74.74,70.94,84.56,55.82,64.84,33.67,79.62,65.16
Colorado St,72.43,55.4,75.11,50.74,51.27,76.47,63.53,55.07,34.68,27.36,45.58,67.52,77.06
Columbia,32.24,48.25,41.81,64.21,69.93,42.52,51.82,39.95,60.25,80.88,56.9,34.93,53.04
Connecticut,65.14,44.49,85.54,27.37,31.98,81.24,42.59,87.52,46.05,52.95,25.36,51.96,74.92
Coppin St,8.08,22.84,18.07,45.49,44.34,26.37,56.22,27.47,57.14,19.41,47.43,73.25,39.28
Cornell,24.28,45.07,34.01,45.98,64.98,62.15,17.98,31.66,67.59,72.62,32.68,37.46,59.81
Creighton,89.45,89.79,70.23,74.88,73.15,80.14,24.05,55.09,44.53,89.13,52.64,39.89,79.39
CS Bakersfield,63.25,30.25,85.74,39.59,25.15,54.59,71.59,69.34,73.98,58.57,82.54,55.91,35.64
CS Fullerton,25.01,33.98,49.16,37.61,23.38,45.17,49.2,50.43,83.85,26.88,64.01,61.92,43.9
