Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Abilene Chr,30,22,46,18,39,26,24,31,62,40,52,37,41
Air Force,41,41,41,26,60,51,45,13,57,51,32,58,72
Akron,61,55,50,36,83,46,45,38,35,51,25,48,60
Alabama,70,35,79,28,40,68,68,71,64,28,51,64,55
Alabama A&M,2,5,25,33,9,14,55,13,46,20,5,48,52
Alabama St,16,14,34,54,33,42,80,34,73,1,24,44,26
Albany NY,54,44,56,33,31,41,59,2,41,36,24,44,68
Alcorn St,34,27,41,52,40,50,63,39,54,32,47,34,32
American Univ,29,12,53,14,28,25,22,23,54,22,53,25,38
Appalachian St,35,43,34,59,58,55,69,34,65,41,34,60,22
Arizona,87,60,76,23,37,72,57,49,41,46,34,74,81
Arizona St,55,67,38,57,74,46,43,51,28,38,43,52,65
Ark Little Rock,40,18,61,26,27,33,44,47,49,17,33,25,53
Ark Pine Bluff,9,3,38,29,36,10,55,31,96,9,68,27,6
Arkansas,77,80,51,61,39,57,64,75,29,55,66,78,40
Arkansas St,58,48,53,38,42,56,59,30,47,33,33,75,36
Army,41,43,38,60,72,65,49,10,70,62,27,24,50
Auburn,65,78,40,67,62,60,65,80,58,44,68,87,39
Austin Peay,32,52,22,44,47,29,37,27,43,15,29,68,57
Ball St,51,53,37,48,68,60,46,46,76,50,32,45,37
Baylor,92,58,86,41,43,65,75,75,44,68,36,46,80
Belmont,65,58,51,49,76,66,38,29,45,64,20,23,53
Bethune-Cookman,16,24,29,61,35,17,55,27,45,35,61,23,35
Binghamton,28,20,46,28,53,47,35,18,49,27,18,28,58
Boise St,63,60,50,35,54,66,51,28,54,34,24,79,39
Boston College,49,53,44,51,59,67,36,34,75,57,35,34,43
Boston Univ,49,45,46,49,63,50,53,23,68,41,60,48,43
Bowling Green,41,44,38,58,45,44,62,26,46,27,49,54,60
Bradley,41,33,53,17,35,60,40,49,74,24,45,68,36
Brown,35,55,24,35,61,20,42,6,73,39,59,78,35
Bryant,34,43,33,52,53,44,52,11,51,49,49,44,36
Bucknell,68,60,54,45,65,53,41,46,55,54,58,52,55
Buffalo,57,55,44,59,53,73,71,51,70,48,38,67,27
Butler,86,68,70,35,58,47,39,39,14,42,45,55,58
BYU,70,79,44,64,44,93,55,67,77,65,58,91,44
C Michigan,42,78,11,88,94,58,61,31,26,19,23,61,40
Cal Poly SLO,29,31,38,48,57,31,50,43,26,17,25,35,39
California,72,36,80,30,35,81,64,72,55,31,18,55,66
Campbell,34,27,45,14,45,34,22,47,54,12,41,43,39
Canisius,49,60,35,62,73,22,58,11,54,74,56,37,56
Cent Arkansas,28,50,18,65,46,57,59,30,49,54,38,57,54
Central Conn,15,12,38,34,24,17,61,15,60,25,36,34,58
Charleston So,28,41,26,52,44,35,48,36,27,16,23,55,29
Charlotte,40,54,27,54,51,49,26,42,51,31,39,55,41
Chattanooga,61,44,59,31,44,19,56,66,55,26,62,55,49
Chicago St,19,18,34,51,40,39,50,25,50,17,46,25,52
Cincinnati,87,53,82,52,46,55,68,79,22,64,60,42,83
Citadel,32,75,5,97,94,38,71,22,65,62,65,61,7
Clemson,76,64,61,46,54,46,54,59,22,42,66,58,96
Cleveland St,38,21,56,43,46,21,60,33,48,15,55,39,42
Coastal Car,45,42,48,66,63,68,69,27,46,25,30,22,57
Col Charleston,66,35,70,19,33,57,43,47,30,12,36,69,72
Colgate,34,22,50,17,60,38,33,25,69,33,23,40,41
Colorado,68,62,56,42,46,68,68,69,55,46,25,77,58
Colorado St,64,44,61,42,46,70,64,49,35,18,34,65,70
Columbia,40,41,41,53,62,42,53,33,57,59,45,30,47
Connecticut,61,37,72,24,35,76,48,75,44,42,18,43,69
Coppin St,17,21,25,40,43,28,58,21,55,12,39,69,37
Cornell,34,39,36,39,58,58,25,26,65,52,25,32,53
Creighton,82,80,57,65,65,75,31,46,41,73,43,32,73
CS Bakersfield,60,30,70,36,29,53,71,57,73,43,70,52,32
CS Fullerton,33,31,43,32,28,45,51,44,88,17,48,60,36
CS Northridge,34,59,22,51,11,49,49,33,59,34,52,91,24
CS Sacramento,30,24,41,34,18,44,43,53,35,36,20,41,63
Dartmouth,26,30,37,25,54,45,42,10,77,30,16,36,55
Davidson,63,55,56,56,72,68,41,43,36,59,39,36,57
Dayton,78,64,65,33,62,62,35,51,40,60,64,73,56
Delaware,33,18,48,34,29,54,52,39,44,26,33,39,45
Delaware St,19,18,34,37,53,15,45,27,57,32,36,31,44
Denver,48,46,43,28,43,54,39,20,56,50,22,48,46
DePaul,45,38,50,35,36,36,55,37,67,24,51,51,41
Detroit,29,54,19,53,59,35,54,22,73,35,48,77,17
Drake,34,44,34,68,64,42,51,26,39,37,48,30,63
Drexel,37,51,32,63,55,49,69,35,65,50,43,52,37
Duke,88,80,67,49,64,69,58,70,34,49,40,71,71
Duquesne,43,41,43,55,46,59,60,51,63,29,26,53,53
E Illinois,42,36,46,71,61,40,67,46,45,47,49,17,40
E Kentucky,35,32,41,37,46,33,41,45,57,38,37,42,38
E Michigan,53,49,48,61,35,32,76,55,40,42,78,65,20
E Washington,47,48,42,36,49,50,39,61,45,28,15,43,47
East Carolina,48,23,64,28,28,70,62,82,73,31,28,58,72
Edwardsville,25,27,36,43,14,38,70,29,63,16,26,85,18
Elon,55,44,53,49,76,80,41,21,44,47,25,37,73
ETSU,71,57,59,37,51,57,48,67,77,50,75,68,37
Evansville,51,38,58,20,8,47,39,33,38,43,32,75,36
F Dickinson,37,47,31,48,43,30,45,18,48,36,49,56,24
Fairfield,45,38,48,54,68,66,36,29,53,49,32,20,55
FL Atlantic,35,33,39,60,36,48,58,39,42,25,31,42,46
FL Gulf Coast,61,48,56,40,34,53,61,42,53,39,26,39,52
Florida,95,75,75,54,58,68,65,82,34,49,74,83,67
Florida A&M,11,26,22,49,27,34,40,38,54,19,38,59,48
Florida Intl,33,29,43,34,25,32,50,23,52,19,34,20,50
Florida St,86,82,61,65,46,68,66,82,39,53,66,81,44
Fordham,47,18,64,28,61,17,31,32,53,35,92,7,50
Fresno St,62,47,56,26,37,57,46,45,60,31,73,73,34
Furman,61,46,59,32,70,51,38,22,46,49,48,29,53
G Washington,55,46,53,34,60,59,61,53,54,40,33,54,75
Ga Southern,53,54,42,41,69,54,44,40,41,17,53,70,46
Gardner Webb,48,49,44,36,35,55,54,48,67,45,66,87,29
George Mason,58,55,49,49,30,76,60,27,47,28,27,64,67
Georgetown,67,58,59,26,40,68,46,68,60,56,33,75,45
Georgia,71,53,64,33,22,75,49,62,43,46,39,70,64
Georgia St,56,45,52,47,49,46,51,59,62,30,59,36,46
Georgia Tech,64,33,75,33,15,68,47,90,66,60,50,54,76
Gonzaga,97,83,74,53,53,93,50,57,48,64,60,60,71
Grambling,24,21,34,45,23,3,67,21,61,13,78,51,36
Grand Canyon,52,38,53,46,37,55,54,27,49,32,60,63,63
