Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Abilene Chr,14.6,9.96,42.74,6.25,28.23,6.57,2.64,27.64,72.43,49.61,71.19,25.01,29.22
Air Force,31.28,40.33,30.86,13.95,76.46,51.31,29.28,6.35,63.03,75.83,28.29,67.17,89.35
Akron,68.35,68.88,54.53,30.41,98.48,39.29,29.64,40.85,18.88,75.62,15.26,46.79,71.0
Alabama,81.77,27.67,97.99,17.74,29.74,85.5,84.25,92.08,77.42,21.74,69.63,77.4,59.02
Alabama A&M,0.7,1.41,5.36,25.2,0.76,1.22,55.67,6.46,38.79,9.9,1.44,45.58,52.88
Alabama St,3.98,4.21,15.71,71.92,17.52,30.55,96.11,32.3,88.88,0.68,14.19,37.73,7.69
Albany NY,54.64,46.7,69.9,25.13,14.23,27.03,65.87,2.01,29.66,39.15,14.38,37.0,84.51
Alcorn St,19.68,16.32,28.74,66.08,30.64,48.03,74.05,42.65,56.26,31.08,61.79,19.28,13.1
American Univ,13.22,3.54,60.36,3.76,10.21,5.44,2.0,16.05,56.15,12.75,74.7,9.23,22.8
Appalachian St,21.71,44.43,16.35,80.24,73.25,59.34,85.02,33.12,78.31,52.71,31.0,70.56,4.84
Arizona,95.94,77.48,96.84,10.36,24.73,90.21,60.02,61.28,28.15,65.23,31.44,90.19,95.98
Arizona St,57.91,87.44,22.57,76.05,94.57,38.72,23.77,66.47,9.92,44.71,51.6,54.44,78.74
Ark Little Rock,29.56,6.69,80.52,14.71,9.97,13.87,27.77,57.39,46.4,7.74,29.36,9.14,54.91
Ark Pine Bluff,1.85,1.06,22.2,18.73,22.49,0.64,53.36,27.89,99.48,2.63,93.66,11.06,0.47
Arkansas,89.87,96.64,56.87,82.97,28.88,65.21,77.06,94.81,10.79,82.65,92.53,94.04,26.02
Arkansas St,62.2,55.73,61.57,35.2,34.81,62.76,65.58,25.97,41.79,33.95,28.64,91.88,19.57
Army,31.4,45.06,22.44,81.54,93.22,80.74,38.0,4.58,85.58,91.35,18.41,8.5,47.96
Auburn,74.58,95.9,26.49,90.6,81.56,70.65,77.95,96.78,64.47,60.28,93.95,97.72,23.59
Austin Peay,17.56,62.96,3.2,49.15,47.18,8.92,14.41,20.22,33.07,5.59,21.76,84.09,64.53
Ball St,49.26,65.43,21.51,59.14,89.55,71.35,32.38,55.54,92.02,74.53,26.98,40.62,21.38
Baylor,97.7,74.55,99.45,41.63,37.29,80.65,92.03,94.66,33.7,95.96,35.45,43.14,95.45
Belmont,74.9,75.26,57.04,60.2,96.2,81.88,14.73,23.29,37.21,93.83,9.7,7.54,55.89
Bethune-Cookman,4.21,11.85,8.41,83.63,21.73,1.98,53.91,21.49,37.31,38.4,86.5,7.29,18.02
Binghamton,12.14,8.5,43.39,16.8,62.32,39.92,11.04,10.44,45.4,21.08,8.05,11.49,65.94
Boise St,72.29,78.56,54.39,29.68,64.41,82.49,42.65,22.45,56.34,35.99,14.47,94.65,24.06
Boston College,44.93,65.64,36.68,63.81,74.52,84.4,12.76,32.48,91.12,85.11,33.83,19.68,31.96
Boston Univ,45.77,48.12,43.08,61.41,81.69,47.4,49.49,15.51,83.37,52.66,86.17,45.67,31.99
Bowling Green,29.74,45.62,22.56,79.17,41.68,34.61,70.83,19.06,39.3,20.07,64.95,58.73,70.07
Bradley,31.25,24.56,61.78,5.41,21.04,71.54,18.73,61.38,90.27,16.02,57.59,83.73,19.84
Brown,20.78,70.28,4.22,28.31,78.91,2.82,22.8,3.08,89.06,46.95,84.35,93.91,17.2
Bryant,19.89,43.66,13.55,67.19,62.3,34.39,46.05,5.25,49.43,70.78,64.97,37.16,19.7
Bucknell,79.42,78.14,63.93,50.62,85.43,56.42,21.01,55.4,59.12,81.56,82.93,55.34,59.03
Buffalo,61.24,69.52,36.34,80.06,63.2,91.16,87.57,65.86,86.07,70.19,39.62,82.47,8.45
Butler,95.74,88.83,92.53,28.97,73.94,40.09,17.85,41.21,1.82,55.39,56.1,61.9,66.11
BYU,81.66,96.63,38.47,86.88,41.11,99.49,55.73,88.97,92.94,94.43,82.17,98.81,34.48
C Michigan,33.1,95.9,0.46,99.46,99.78,66.5,69.31,26.81,8.31,9.47,12.49,72.56,25.59
Cal Poly SLO,13.99,20.93,23.5,58.45,71.5,11.58,41.59,49.92,7.58,7.17,16.11,21.11,24.54
California,85.25,29.95,98.43,20.15,21.53,96.9,76.27,92.98,59.66,29.61,7.71,62.03,80.35
Campbell,19.51,15.88,39.3,3.92,43.62,15.08,1.93,57.22,55.77,3.93,47.97,36.21,24.29
Canisius,45.25,78.75,17.16,84.29,94.23,3.95,62.66,5.25,57.1,98.45,80.24,24.19,60.91
Cent Arkansas,12.54,58.43,1.74,88.46,44.5,65.68,65.16,25.72,44.89,80.74,39.26,65.97,57.73
Central Conn,3.58,3.63,22.83,26.33,6.84,2.0,69.45,8.07,69.24,16.99,35.63,20.32,65.68
Charleston So,12.52,39.42,5.98,67.34,40.05,17.25,36.59,35.79,8.95,6.89,13.37,60.44,9.77
Charlotte,28.21,67.77,7.13,71.68,56.67,45.89,3.62,48.84,50.49,29.22,42.87,61.75,28.53
Chattanooga,68.57,47.31,75.74,22.59,39.9,2.72,57.75,87.57,59.71,18.96,88.03,62.09,46.0
Chicago St,5.52,6.85,16.16,64.49,31.37,23.27,42.33,18.44,47.31,7.76,59.63,9.33,52.77
Cincinnati,96.24,65.45,98.79,66.82,45.25,60.67,84.3,96.54,5.06,93.54,85.4,33.6,97.07
Citadel,17.56,94.38,0.15,99.88,99.78,20.96,88.32,14.98,79.32,91.52,91.53,72.96,0.56
Clemson,88.51,84.38,79.86,54.22,64.48,38.18,51.96,78.52,5.26,55.45,91.85,66.68,99.57
Cleveland St,25.54,8.94,70.33,46.28,44.1,3.38,67.15,30.33,43.71,6.02,76.85,28.37,30.31
Coastal Car,37.28,41.85,49.07,89.58,82.12,84.97,85.34,21.61,38.22,17.5,23.83,6.91,64.89
Col Charleston,76.81,29.19,92.79,7.05,17.98,65.86,23.97,58.22,11.4,4.06,34.97,85.54,88.97
Colgate,20.15,10.05,52.99,5.42,76.5,22.64,8.74,18.64,84.37,33.37,13.02,29.88,27.84
Colorado,79.63,81.26,68.54,44.46,43.85,85.6,83.76,90.61,59.19,65.89,15.76,93.14,66.36
Colorado St,73.9,47.45,80.4,43.84,45.62,87.9,76.42,62.73,18.79,8.67,30.73,79.64,86.15
Columbia,28.17,40.49,29.7,69.06,80.02,29.85,48.76,31.41,63.47,88.87,57.3,14.14,41.16
Connecticut,68.27,32.8,94.36,12.26,21.51,93.58,35.26,94.58,34.48,54.33,7.46,36.09,85.88
Coppin St,4.39,9.11,5.29,38.94,37.41,8.54,61.82,13.17,59.6,3.89,42.04,85.39,20.85
Cornell,19.17,35.93,19.11,36.97,72.95,66.18,2.84,19.83,77.76,77.28,15.52,17.08,54.78
