id,pred,Team1,Team2,Season
2016_1112_1114,0.800405257043,Arizona,Ark Little Rock,2016
2016_1112_1122,0.973309195574,Arizona,Austin Peay,2016
2016_1112_1124,0.631955112995,Arizona,Baylor,2016
2016_1112_1138,0.906634024488,Arizona,Buffalo,2016
2016_1112_1139,0.69373180353,Arizona,Butler,2016
2016_1112_1143,0.636896163779,Arizona,California,2016
2016_1112_1151,0.844116866353,Arizona,Chattanooga,2016
2016_1112_1153,0.590395720912,Arizona,Cincinnati,2016
2016_1112_1160,0.735358808017,Arizona,Colorado,2016
2016_1112_1163,0.693210978971,Arizona,Connecticut,2016
2016_1112_1167,0.895899196782,Arizona,CS Bakersfield,2016
2016_1112_1173,0.772176315695,Arizona,Dayton,2016
2016_1112_1181,0.521290855204,Arizona,Duke,2016
2016_1112_1192,0.984455714562,Arizona,F Dickinson,2016
2016_1112_1195,0.960461319909,Arizona,FL Gulf Coast,2016
2016_1112_1201,0.877394741258,Arizona,Fresno St,2016
2016_1112_1211,0.649605889888,Arizona,Gonzaga,2016
2016_1112_1214,0.963606411393,Arizona,Hampton,2016
2016_1112_1218,0.773217918827,Arizona,Hawaii,2016
2016_1112_1221,0.983407261243,Arizona,Holy Cross,2016
2016_1112_1231,0.533656803143,Arizona,Indiana,2016
2016_1112_1233,0.876781801087,Arizona,Iona,2016
2016_1112_1234,0.553656705167,Arizona,Iowa,2016
2016_1112_1235,0.589377464301,Arizona,Iowa St,2016
2016_1112_1242,0.392229541732,Arizona,Kansas,2016
2016_1112_1246,0.477981403812,Arizona,Kentucky,2016
2016_1112_1268,0.586580718376,Arizona,Maryland,2016
2016_1112_1274,0.508984332325,Arizona,Miami FL,2016
2016_1112_1276,0.751254759754,Arizona,Michigan,2016
2016_1112_1277,0.416687737287,Arizona,Michigan St,2016
2016_1112_1292,0.917412078918,Arizona,MTSU,2016
2016_1112_1314,0.307980281579,Arizona,North Carolina,2016
2016_1112_1320,0.838975861858,Arizona,Northern Iowa,2016
2016_1112_1323,0.672922078693,Arizona,Notre Dame,2016
2016_1112_1328,0.44897081675,Arizona,Oklahoma,2016
2016_1112_1332,0.453570190918,Arizona,Oregon,2016
2016_1112_1333,0.803007126579,Arizona,Oregon St,2016
2016_1112_1338,0.686908189087,Arizona,Pittsburgh,2016
2016_1112_1344,0.731969089247,Arizona,Providence,2016
2016_1112_1345,0.499119970181,Arizona,Purdue,2016
2016_1112_1355,0.845904490662,Arizona,S Dakota St,2016
2016_1112_1371,0.66178413916,Arizona,Seton Hall,2016
2016_1112_1372,0.743221464355,Arizona,SF Austin,2016
2016_1112_1380,0.969585474146,Arizona,Southern Univ,2016
2016_1112_1386,0.694294108293,Arizona,St Joseph's PA,2016
2016_1112_1392,0.818426386695,Arizona,Stony Brook,2016
2016_1112_1393,0.727221932965,Arizona,Syracuse,2016
2016_1112_1396,0.840343923672,Arizona,Temple,2016
2016_1112_1400,0.6953788232,Arizona,Texas,2016
2016_1112_1401,0.534819865635,Arizona,Texas A&M,2016
2016_1112_1403,0.726006467659,Arizona,Texas Tech,2016
2016_1112_1409,0.78750144896,Arizona,Tulsa,2016
2016_1112_1421,0.914185206289,Arizona,UNC Asheville,2016
2016_1112_1423,0.85684407384,Arizona,UNC Wilmington,2016
2016_1112_1425,0.711916559446,Arizona,USC,2016
2016_1112_1428,0.595869302612,Arizona,Utah,2016
2016_1112_1433,0.709665717357,Arizona,VA Commonwealth,2016
2016_1112_1435,0.637661175721,Arizona,Vanderbilt,2016
2016_1112_1437,0.389818044589,Arizona,Villanova,2016
2016_1112_1438,0.394766468777,Arizona,Virginia,2016
2016_1112_1451,0.925671268851,Arizona,Weber St,2016
2016_1112_1452,0.429756400035,Arizona,West Virginia,2016
2016_1112_1453,0.908266319873,Arizona,WI Green Bay,2016
2016_1112_1455,0.590647058424,Arizona,Wichita St,2016
2016_1112_1458,0.709098789097,Arizona,Wisconsin,2016
2016_1112_1462,0.498093126993,Arizona,Xavier,2016
2016_1112_1463,0.769413268135,Arizona,Yale,2016
2016_1114_1122,0.880792467449,Ark Little Rock,Austin Peay,2016
2016_1114_1124,0.321915858997,Ark Little Rock,Baylor,2016
2016_1114_1138,0.67533592376,Ark Little Rock,Buffalo,2016
2016_1114_1139,0.363680015743,Ark Little Rock,Butler,2016
2016_1114_1143,0.308866077806,Ark Little Rock,California,2016
2016_1114_1151,0.55530603989,Ark Little Rock,Chattanooga,2016
2016_1114_1153,0.325732614278,Ark Little Rock,Cincinnati,2016
2016_1114_1160,0.426654384367,Ark Little Rock,Colorado,2016
2016_1114_1163,0.387197007452,Ark Little Rock,Connecticut,2016
2016_1114_1167,0.668415274976,Ark Little Rock,CS Bakersfield,2016
2016_1114_1173,0.449659645245,Ark Little Rock,Dayton,2016
2016_1114_1181,0.206123862889,Ark Little Rock,Duke,2016
2016_1114_1192,0.924264483022,Ark Little Rock,F Dickinson,2016
2016_1114_1195,0.83705541501,Ark Little Rock,FL Gulf Coast,2016
2016_1114_1201,0.626630930031,Ark Little Rock,Fresno St,2016
2016_1114_1211,0.322734151093,Ark Little Rock,Gonzaga,2016
2016_1114_1214,0.83327315764,Ark Little Rock,Hampton,2016
2016_1114_1218,0.467542472797,Ark Little Rock,Hawaii,2016
2016_1114_1221,0.912269771844,Ark Little Rock,Holy Cross,2016
2016_1114_1231,0.244119386435,Ark Little Rock,Indiana,2016
2016_1114_1233,0.620737346416,Ark Little Rock,Iona,2016
2016_1114_1234,0.270975100568,Ark Little Rock,Iowa,2016
2016_1114_1235,0.285231009519,Ark Little Rock,Iowa St,2016
2016_1114_1242,0.154322400341,Ark Little Rock,Kansas,2016
2016_1114_1246,0.184636833851,Ark Little Rock,Kentucky,2016
2016_1114_1268,0.295909048183,Ark Little Rock,Maryland,2016
2016_1114_1274,0.204817146735,Ark Little Rock,Miami FL,2016
2016_1114_1276,0.418085946435,Ark Little Rock,Michigan,2016
2016_1114_1277,0.17454829,Ark Little Rock,Michigan St,2016
2016_1114_1292,0.680883143322,Ark Little Rock,MTSU,2016
2016_1114_1314,0.111485226222,Ark Little Rock,North Carolina,2016
2016_1114_1320,0.530436507383,Ark Little Rock,Northern Iowa,2016
2016_1114_1323,0.343495400688,Ark Little Rock,Notre Dame,2016
2016_1114_1328,0.206798031296,Ark Little Rock,Oklahoma,2016
2016_1114_1332,0.186748088744,Ark Little Rock,Oregon,2016
2016_1114_1333,0.509964011614,Ark Little Rock,Oregon St,2016
2016_1114_1338,0.348006466193,Ark Little Rock,Pittsburgh,2016
2016_1114_1344,0.408688204938,Ark Little Rock,Providence,2016
2016_1114_1345,0.214024829118,Ark Little Rock,Purdue,2016
2016_1114_1355,0.54990765648,Ark Little Rock,S Dakota St,2016
2016_1114_1371,0.363192437466,Ark Little Rock,Seton Hall,2016
2016_1114_1372,0.397131736951,Ark Little Rock,SF Austin,2016
2016_1114_1380,0.863275257888,Ark Little Rock,Southern Univ,2016
2016_1114_1386,0.366758692597,Ark Little Rock,St Joseph's PA,2016
2016_1114_1392,0.521044239586,Ark Little Rock,Stony Brook,2016
2016_1114_1393,0.440712243194,Ark Little Rock,Syracuse,2016
2016_1114_1396,0.544406931091,Ark Little Rock,Temple,2016
2016_1114_1400,0.36714686352,Ark Little Rock,Texas,2016
2016_1114_1401,0.264301597652,Ark Little Rock,Texas A&M,2016
2016_1114_1403,0.417095806751,Ark Little Rock,Texas Tech,2016
2016_1114_1409,0.463609889145,Ark Little Rock,Tulsa,2016
2016_1114_1421,0.703179824421,Ark Little Rock,UNC Asheville,2016
2016_1114_1423,0.57247466493,Ark Little Rock,UNC Wilmington,2016
2016_1114_1425,0.428053241895,Ark Little Rock,USC,2016
2016_1114_1428,0.292238103782,Ark Little Rock,Utah,2016
2016_1114_1433,0.386891874082,Ark Little Rock,VA Commonwealth,2016
2016_1114_1435,0.322457241888,Ark Little Rock,Vanderbilt,2016
2016_1114_1437,0.156201269749,Ark Little Rock,Villanova,2016
2016_1114_1438,0.143564434646,Ark Little Rock,Virginia,2016
2016_1114_1451,0.691777561544,Ark Little Rock,Weber St,2016
2016_1114_1452,0.168363429967,Ark Little Rock,West Virginia,2016
2016_1114_1453,0.684017434272,Ark Little Rock,WI Green Bay,2016
2016_1114_1455,0.2808999329,Ark Little Rock,Wichita St,2016
2016_1114_1458,0.370712242163,Ark Little Rock,Wisconsin,2016
2016_1114_1462,0.226214537681,Ark Little Rock,Xavier,2016
2016_1114_1463,0.45062930618,Ark Little Rock,Yale,2016
2016_1122_1124,0.0497078765132,Austin Peay,Baylor,2016
2016_1122_1138,0.247536898316,Austin Peay,Buffalo,2016
2016_1122_1139,0.0590878734059,Austin Peay,Butler,2016
2016_1122_1143,0.0492124244368,Austin Peay,California,2016
2016_1122_1151,0.156763304446,Austin Peay,Chattanooga,2016
2016_1122_1153,0.0529778978763,Austin Peay,Cincinnati,2016
2016_1122_1160,0.0848037398717,Austin Peay,Colorado,2016
2016_1122_1163,0.0710541477455,Austin Peay,Connecticut,2016
2016_1122_1167,0.213025480781,Austin Peay,CS Bakersfield,2016
2016_1122_1173,0.103550101622,Austin Peay,Dayton,2016
2016_1122_1181,0.0300450002444,Austin Peay,Duke,2016
2016_1122_1192,0.585809287989,Austin Peay,F Dickinson,2016
2016_1122_1195,0.427175457331,Austin Peay,FL Gulf Coast,2016
2016_1122_1201,0.190513967207,Austin Peay,Fresno St,2016
2016_1122_1211,0.0574863505948,Austin Peay,Gonzaga,2016
2016_1122_1214,0.413244706742,Austin Peay,Hampton,2016
2016_1122_1218,0.116166784969,Austin Peay,Hawaii,2016
2016_1122_1221,0.602549443835,Austin Peay,Holy Cross,2016
2016_1122_1231,0.0361586960691,Austin Peay,Indiana,2016
2016_1122_1233,0.209990727349,Austin Peay,Iona,2016
2016_1122_1234,0.0418096035129,Austin Peay,Iowa,2016
2016_1122_1235,0.0460032416847,Austin Peay,Iowa St,2016
2016_1122_1242,0.0178483214044,Austin Peay,Kansas,2016
2016_1122_1246,0.020757033238,Austin Peay,Kentucky,2016
2016_1122_1268,0.0467485045543,Austin Peay,Maryland,2016
2016_1122_1274,0.0274104151372,Austin Peay,Miami FL,2016
2016_1122_1276,0.0982230043805,Austin Peay,Michigan,2016
2016_1122_1277,0.0215939404773,Austin Peay,Michigan St,2016
2016_1122_1292,0.261395084258,Austin Peay,MTSU,2016
2016_1122_1314,0.0124776347721,Austin Peay,North Carolina,2016
2016_1122_1320,0.170082665369,Austin Peay,Northern Iowa,2016
2016_1122_1323,0.0620932200259,Austin Peay,Notre Dame,2016
2016_1122_1328,0.0271035986356,Austin Peay,Oklahoma,2016
2016_1122_1332,0.0227933561299,Austin Peay,Oregon,2016
2016_1122_1333,0.126711873092,Austin Peay,Oregon St,2016
2016_1122_1338,0.0593967789882,Austin Peay,Pittsburgh,2016
2016_1122_1344,0.0878021983682,Austin Peay,Providence,2016
2016_1122_1345,0.0303368082512,Austin Peay,Purdue,2016
2016_1122_1355,0.156966783004,Austin Peay,S Dakota St,2016
2016_1122_1371,0.0605167456589,Austin Peay,Seton Hall,2016
2016_1122_1372,0.0803494777289,Austin Peay,SF Austin,2016
2016_1122_1380,0.458741798968,Austin Peay,Southern Univ,2016
2016_1122_1386,0.0744061651486,Austin Peay,St Joseph's PA,2016
2016_1122_1392,0.136581756814,Austin Peay,Stony Brook,2016
2016_1122_1393,0.102918906218,Austin Peay,Syracuse,2016
2016_1122_1396,0.173607519667,Austin Peay,Temple,2016
2016_1122_1400,0.0635899875741,Austin Peay,Texas,2016
2016_1122_1401,0.0383437262232,Austin Peay,Texas A&M,2016
2016_1122_1403,0.0791445359368,Austin Peay,Texas Tech,2016
2016_1122_1409,0.105703315565,Austin Peay,Tulsa,2016
2016_1122_1421,0.266943050735,Austin Peay,UNC Asheville,2016
2016_1122_1423,0.147261366013,Austin Peay,UNC Wilmington,2016
2016_1122_1425,0.0835482713317,Austin Peay,USC,2016
2016_1122_1428,0.0479563385496,Austin Peay,Utah,2016
2016_1122_1433,0.0711731578788,Austin Peay,VA Commonwealth,2016
2016_1122_1435,0.0516813870742,Austin Peay,Vanderbilt,2016
2016_1122_1437,0.0196487293265,Austin Peay,Villanova,2016
2016_1122_1438,0.0180125953916,Austin Peay,Virginia,2016
2016_1122_1451,0.290152437403,Austin Peay,Weber St,2016
2016_1122_1452,0.0205497174469,Austin Peay,West Virginia,2016
2016_1122_1453,0.221537567314,Austin Peay,WI Green Bay,2016
2016_1122_1455,0.0418278650506,Austin Peay,Wichita St,2016
2016_1122_1458,0.0675260733294,Austin Peay,Wisconsin,2016
2016_1122_1462,0.0319611601311,Austin Peay,Xavier,2016
2016_1122_1463,0.0953233808671,Austin Peay,Yale,2016
2016_1124_1138,0.856879797876,Baylor,Buffalo,2016
2016_1124_1139,0.563306454775,Baylor,Butler,2016
2016_1124_1143,0.510152692824,Baylor,California,2016
2016_1124_1151,0.760653332619,Baylor,Chattanooga,2016
2016_1124_1153,0.46888823704,Baylor,Cincinnati,2016
2016_1124_1160,0.641889559362,Baylor,Colorado,2016
2016_1124_1163,0.540437405806,Baylor,Connecticut,2016
2016_1124_1167,0.823406208352,Baylor,CS Bakersfield,2016
2016_1124_1173,0.657978221996,Baylor,Dayton,2016
2016_1124_1181,0.382500423336,Baylor,Duke,2016
2016_1124_1192,0.973082217874,Baylor,F Dickinson,2016
2016_1124_1195,0.932586361302,Baylor,FL Gulf Coast,2016
2016_1124_1201,0.802623031171,Baylor,Fresno St,2016
2016_1124_1211,0.503738032417,Baylor,Gonzaga,2016
2016_1124_1214,0.938565968862,Baylor,Hampton,2016
2016_1124_1218,0.677515009424,Baylor,Hawaii,2016
2016_1124_1221,0.970519911739,Baylor,Holy Cross,2016
2016_1124_1231,0.396702324357,Baylor,Indiana,2016
2016_1124_1233,0.80210335978,Baylor,Iona,2016
2016_1124_1234,0.42719267652,Baylor,Iowa,2016
2016_1124_1235,0.428920925064,Baylor,Iowa St,2016
2016_1124_1242,0.265317075178,Baylor,Kansas,2016
2016_1124_1246,0.325978067145,Baylor,Kentucky,2016
2016_1124_1268,0.449587076238,Baylor,Maryland,2016
2016_1124_1274,0.365354872807,Baylor,Miami FL,2016
2016_1124_1276,0.607819676284,Baylor,Michigan,2016
