Id,Pred,Team1,Team2,Season
2016_1112_1114,0.737863798488,Arizona,Ark Little Rock,2016
2016_1112_1122,0.954361595616,Arizona,Austin Peay,2016
2016_1112_1124,0.494051394626,Arizona,Baylor,2016
2016_1112_1138,0.883422276433,Arizona,Buffalo,2016
2016_1112_1139,0.557967378695,Arizona,Butler,2016
2016_1112_1143,0.626966346971,Arizona,California,2016
2016_1112_1151,0.807445779784,Arizona,Chattanooga,2016
2016_1112_1153,0.536890045754,Arizona,Cincinnati,2016
2016_1112_1160,0.729170984777,Arizona,Colorado,2016
2016_1112_1163,0.630736824817,Arizona,Connecticut,2016
2016_1112_1167,0.859303595048,Arizona,CS Bakersfield,2016
2016_1112_1173,0.700021355561,Arizona,Dayton,2016
2016_1112_1181,0.457205110916,Arizona,Duke,2016
2016_1112_1192,0.973303919884,Arizona,F Dickinson,2016
2016_1112_1195,0.939316945958,Arizona,FL Gulf Coast,2016
2016_1112_1201,0.831264953911,Arizona,Fresno St,2016
2016_1112_1211,0.606286890153,Arizona,Gonzaga,2016
2016_1112_1214,0.956971479167,Arizona,Hampton,2016
2016_1112_1218,0.766753600174,Arizona,Hawaii,2016
2016_1112_1221,0.976389940894,Arizona,Holy Cross,2016
2016_1112_1231,0.461695565787,Arizona,Indiana,2016
2016_1112_1233,0.846443512318,Arizona,Iona,2016
2016_1112_1234,0.532931959853,Arizona,Iowa,2016
2016_1112_1235,0.567680312479,Arizona,Iowa St,2016
2016_1112_1242,0.317331122017,Arizona,Kansas,2016
2016_1112_1246,0.432339283816,Arizona,Kentucky,2016
2016_1112_1268,0.619620924439,Arizona,Maryland,2016
2016_1112_1274,0.486701648641,Arizona,Miami FL,2016
2016_1112_1276,0.668147612957,Arizona,Michigan,2016
2016_1112_1277,0.350856202053,Arizona,Michigan St,2016
2016_1112_1292,0.88040249056,Arizona,MTSU,2016
2016_1112_1314,0.336285234451,Arizona,North Carolina,2016
2016_1112_1320,0.837530219586,Arizona,Northern Iowa,2016
2016_1112_1323,0.674357493827,Arizona,Notre Dame,2016
2016_1112_1328,0.444610672352,Arizona,Oklahoma,2016
2016_1112_1332,0.468675454402,Arizona,Oregon,2016
2016_1112_1333,0.733485410701,Arizona,Oregon St,2016
2016_1112_1338,0.595673890477,Arizona,Pittsburgh,2016
2016_1112_1344,0.741782716002,Arizona,Providence,2016
2016_1112_1345,0.466567471086,Arizona,Purdue,2016
2016_1112_1355,0.820207776212,Arizona,S Dakota St,2016
2016_1112_1371,0.644526236296,Arizona,Seton Hall,2016
2016_1112_1372,0.674376738851,Arizona,SF Austin,2016
2016_1112_1380,0.949025552446,Arizona,Southern Univ,2016
2016_1112_1386,0.711133612904,Arizona,St Joseph's PA,2016
2016_1112_1392,0.822811880469,Arizona,Stony Brook,2016
2016_1112_1393,0.679105822443,Arizona,Syracuse,2016
2016_1112_1396,0.817874393312,Arizona,Temple,2016
2016_1112_1400,0.595120449704,Arizona,Texas,2016
2016_1112_1401,0.454481245296,Arizona,Texas A&M,2016
2016_1112_1403,0.708934553107,Arizona,Texas Tech,2016
2016_1112_1409,0.763767267572,Arizona,Tulsa,2016
2016_1112_1421,0.867160426906,Arizona,UNC Asheville,2016
2016_1112_1423,0.763749540958,Arizona,UNC Wilmington,2016
2016_1112_1425,0.688365713666,Arizona,USC,2016
2016_1112_1428,0.650152018586,Arizona,Utah,2016
2016_1112_1433,0.599079972463,Arizona,VA Commonwealth,2016
2016_1112_1435,0.589644007931,Arizona,Vanderbilt,2016
2016_1112_1437,0.43364674101,Arizona,Villanova,2016
2016_1112_1438,0.38499536367,Arizona,Virginia,2016
2016_1112_1451,0.928886527429,Arizona,Weber St,2016
2016_1112_1452,0.234052308118,Arizona,West Virginia,2016
2016_1112_1453,0.852391122164,Arizona,WI Green Bay,2016
2016_1112_1455,0.496457819293,Arizona,Wichita St,2016
2016_1112_1458,0.655971746957,Arizona,Wisconsin,2016
2016_1112_1462,0.486137455062,Arizona,Xavier,2016
2016_1112_1463,0.721539575496,Arizona,Yale,2016
2016_1114_1122,0.902431626715,Ark Little Rock,Austin Peay,2016
2016_1114_1124,0.301741967636,Ark Little Rock,Baylor,2016
2016_1114_1138,0.769879258443,Ark Little Rock,Buffalo,2016
2016_1114_1139,0.357965782188,Ark Little Rock,Butler,2016
2016_1114_1143,0.426617785233,Ark Little Rock,California,2016
2016_1114_1151,0.649357323794,Ark Little Rock,Chattanooga,2016
2016_1114_1153,0.338446651855,Ark Little Rock,Cincinnati,2016
2016_1114_1160,0.544593284523,Ark Little Rock,Colorado,2016
2016_1114_1163,0.430083166188,Ark Little Rock,Connecticut,2016
2016_1114_1167,0.729416394111,Ark Little Rock,CS Bakersfield,2016
2016_1114_1173,0.507529330185,Ark Little Rock,Dayton,2016
2016_1114_1181,0.270860991487,Ark Little Rock,Duke,2016
2016_1114_1192,0.941416928706,Ark Little Rock,F Dickinson,2016
