Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Abilene Chr,32,31,41,30,38,26,29,26,57,38,52,48,42
Air Force,42,33,55,30,37,54,34,17,58,47,38,53,61
Akron,67,57,63,57,85,56,52,53,34,56,38,34,63
Alabama,65,38,76,27,52,57,43,77,55,34,45,55,56
Alabama A&M,35,30,47,47,33,28,60,19,39,38,34,48,45
Alabama St,38,38,42,69,47,36,70,43,42,34,38,39,35
Albany NY,60,45,66,31,32,52,59,11,57,38,44,74,80
Alcorn St,34,26,47,48,31,25,70,47,61,9,19,47,46
American Univ,32,11,65,11,40,24,23,22,62,35,39,24,55
Appalachian St,40,46,39,58,53,43,74,42,67,39,27,62,40
Arizona,81,71,73,43,35,76,59,67,55,59,27,71,79
Arizona St,64,56,63,52,60,56,66,40,47,46,34,66,61
Ark Little Rock,72,42,79,38,42,42,39,37,27,47,54,29,64
Ark Pine Bluff,27,12,51,31,34,23,47,46,75,23,61,22,25
Arkansas,67,63,58,58,40,53,56,73,36,73,63,65,42
Arkansas St,41,49,38,61,26,70,58,55,51,40,35,63,39
Army,45,53,40,66,65,66,63,40,62,55,21,42,55
Auburn,49,49,46,50,63,60,53,58,64,39,35,67,42
Austin Peay,44,47,41,38,31,43,55,34,69,41,55,74,63
Ball St,53,35,66,34,56,57,41,47,57,49,34,33,55
Baylor,77,67,71,53,37,46,76,55,47,80,63,61,59
Belmont,58,72,35,55,78,57,35,27,59,75,25,46,46
Bethune-Cookman,35,33,44,55,46,36,67,75,46,25,39,35,56
Binghamton,31,12,61,26,30,47,38,21,71,29,29,43,64
Boise St,64,62,59,44,56,51,43,23,50,50,44,65,63
Boston College,44,27,65,34,50,52,30,41,66,45,41,23,61
Boston Univ,45,44,45,37,57,55,37,45,67,47,34,47,55
Bowling Green,45,39,48,41,27,55,51,44,57,28,49,61,54
Bradley,29,20,57,23,23,54,44,32,84,20,19,46,30
Brown,40,49,36,44,62,54,40,51,64,63,29,60,45
Bryant,26,25,39,47,43,39,41,31,61,51,39,17,61
Bucknell,52,59,47,44,52,52,49,38,63,61,47,72,35
Buffalo,57,59,47,57,48,61,66,49,63,41,59,76,52
Butler,73,70,62,54,49,50,61,47,26,57,47,69,58
BYU,70,74,53,69,65,72,67,56,53,68,52,60,54
C Michigan,55,53,50,54,70,46,49,32,26,47,27,40,59
Cal Poly SLO,47,49,48,55,53,46,62,42,29,53,38,55,50
California,79,61,78,44,44,82,62,68,55,48,19,72,55
Campbell,33,37,40,42,46,27,28,23,38,21,49,52,43
Canisius,46,52,39,54,65,26,54,32,37,52,37,52,47
Cent Arkansas,32,48,24,56,36,45,62,52,62,42,35,71,42
Central Conn,17,23,30,50,33,38,54,44,58,30,16,32,62
Charleston So,34,38,40,55,68,44,40,22,47,39,28,24,49
Charlotte,48,52,41,64,53,44,57,27,44,53,43,43,67
Chattanooga,64,47,67,45,50,40,59,56,41,51,66,53,67
Chicago St,24,28,37,56,48,39,64,38,69,28,51,29,36
Cincinnati,75,48,83,54,51,58,77,77,33,60,59,40,78
Citadel,31,73,9,98,84,38,69,35,58,58,72,51,17
Clemson,70,47,76,41,53,53,55,73,31,47,43,41,81
Cleveland St,36,15,66,32,25,28,53,27,69,21,46,25,41
Coastal Car,51,41,61,48,49,60,58,37,51,34,37,45,56
Col Charleston,59,27,80,36,43,43,61,25,60,32,59,36,56
Colgate,43,39,48,34,67,28,40,22,49,49,39,32,48
Colorado,70,59,69,49,50,85,74,69,63,54,31,71,62
Colorado St,54,61,45,54,70,59,68,26,42,44,8,69,61
Columbia,59,50,60,32,74,41,37,36,36,50,39,52,63
Connecticut,75,55,80,43,46,66,41,64,42,54,36,33,61
Coppin St,32,37,36,60,47,41,65,37,46,25,40,60,36
Cornell,40,47,36,56,67,44,33,45,61,32,58,46,51
Creighton,71,68,58,55,59,71,40,43,36,64,40,59,64
CS Bakersfield,62,44,67,48,20,54,67,66,55,57,58,53,40
CS Fullerton,40,43,43,45,40,53,56,12,58,19,29,67,45
CS Northridge,43,46,44,44,14,52,52,40,65,52,55,70,52
CS Sacramento,39,38,47,48,40,53,46,47,47,48,31,42,43
Dartmouth,44,35,56,39,32,34,60,15,74,43,47,57,50
Davidson,62,68,44,64,78,56,45,40,30,61,28,48,64
Dayton,72,50,73,37,42,70,45,60,56,54,47,62,64
Delaware,39,37,44,45,35,65,65,38,46,33,14,68,63
Delaware St,20,16,42,43,44,23,51,32,67,29,37,25,46
Denver,49,24,71,4,49,17,11,21,62,52,50,21,52
DePaul,48,43,54,35,26,50,51,43,69,41,28,47,42
Detroit,52,71,30,62,54,47,70,53,63,42,57,72,23
Drake,39,37,48,32,49,48,36,23,62,42,10,32,70
Drexel,42,28,59,38,31,33,51,42,40,44,26,57,43
Duke,81,75,67,54,74,56,66,59,30,54,45,75,85
Duquesne,54,63,42,60,73,68,49,50,67,61,32,42,44
E Illinois,39,34,46,45,49,33,46,22,47,44,42,38,44
E Kentucky,47,61,32,51,62,35,37,39,71,64,57,51,34
E Michigan,56,55,48,49,30,39,63,48,55,32,75,77,37
E Washington,48,59,36,48,72,41,39,45,44,40,29,48,45
East Carolina,49,42,53,38,47,49,48,24,61,64,37,41,75
Edwardsville,31,25,51,43,24,36,65,51,59,21,30,51,40
Elon,54,59,43,64,77,59,56,27,55,64,36,41,57
ETSU,55,56,48,55,58,40,52,39,44,39,53,42,41
Evansville,66,55,64,31,17,61,30,58,52,78,31,68,71
F Dickinson,41,54,29,57,55,29,49,27,53,53,60,50,25
Fairfield,49,53,42,58,70,53,35,47,57,63,42,38,52
FL Atlantic,34,30,49,39,39,45,32,59,49,32,35,38,46
FL Gulf Coast,49,41,59,42,19,56,50,48,47,33,43,47,49
Florida,74,59,73,59,45,70,74,64,42,54,54,71,60
Florida A&M,18,11,44,31,26,36,38,21,82,18,51,55,50
Florida Intl,44,36,55,31,28,51,44,59,57,30,23,40,54
Florida St,70,71,58,59,44,62,64,59,59,51,59,75,53
Fordham,55,39,66,40,53,36,51,48,63,58,74,36,51
Fresno St,61,53,60,55,35,56,56,47,39,49,61,60,43
Furman,53,40,61,34,47,38,53,36,51,38,43,57,48
G Washington,68,57,65,44,44,57,63,46,43,53,41,64,75
Ga Southern,45,49,45,60,58,35,59,22,36,27,61,60,40
Gardner Webb,44,42,48,57,56,43,65,40,58,39,59,53,42
George Mason,48,37,53,60,27,77,80,50,50,26,6,48,64
Georgetown,67,56,63,40,59,65,43,66,54,63,33,58,32
Georgia,69,49,71,38,39,73,62,72,55,42,32,69,50
Georgia St,52,28,68,35,16,30,32,34,40,37,55,41,51
Georgia Tech,68,56,66,59,32,64,81,58,38,50,25,47,66
Gonzaga,75,67,73,48,50,74,54,37,46,54,30,46,68
Grambling,22,11,51,27,18,25,35,15,62,5,49,52,47
Grand Canyon,60,51,58,48,33,56,56,26,53,51,37,63,52
Hampton,46,47,44,61,36,57,76,44,61,34,33,76,52
Hartford,33,40,31,43,75,35,19,16,43,38,42,49,39
Harvard,51,36,65,30,55,57,47,66,72,67,24,35,63
Hawaii,69,59,63,41,46,58,47,48,63,60,67,73,48
High Point,56,53,53,47,30,30,52,31,33,55,61,42,61
Hofstra,64,61,53,56,66,64,68,39,44,64,48,67,85
Holy Cross,37,22,58,25,51,28,27,26,39,54,41,41,67
Houston,67,62,61,57,43,51,70,52,34,40,34,49,51
Houston Bap,38,46,37,40,31,45,50,42,64,40,29,70,47
Howard,31,31,39,44,12,42,65,34,68,2,44,77,56
Idaho,46,30,64,27,33,53,56,29,83,31,26,58,48
Idaho St,38,44,41,41,54,52,40,29,64,34,52,52,50
IL Chicago,25,27,38,54,14,59,79,62,79,25,38,66,36
Illinois,58,52,57,44,63,46,24,26,34,54,42,40,80
Illinois St,56,40,66,54,51,46,63,42,54,49,51,33,58
Incarnate Word,45,38,49,39,62,42,26,29,41,54,40,40,57
Indiana,81,77,67,49,79,55,65,59,64,70,59,48,72
Indiana St,52,41,59,51,39,63,62,32,58,32,41,68,38
Iona,63,66,49,60,83,60,47,54,56,76,61,41,48
Iowa,80,71,71,63,64,68,70,67,37,71,59,56,77
Iowa St,80,84,56,73,61,69,42,60,33,80,47,24,82
IPFW,59,64,44,56,83,59,49,35,45,66,36,46,65
IUPUI,47,39,52,51,34,48,51,26,58,34,55,39,48
Jackson St,44,28,58,64,34,47,73,44,44,29,64,34,32
Jacksonville,38,45,38,61,63,51,45,28,42,32,45,39,55
Jacksonville St,34,27,52,48,51,23,44,32,32,30,28,26,46
