Team,PtDiff,Offense,Defense,Pace,Threes,DefRebounds,OffRebounds,Blocks,Turnovers,Assists,Steals,FreeThrows,FreeThrowsGiven
Abilene Chr,20.3,23.3,51.46,21.53,39.17,24.81,17.3,37.43,64.31,56.3,63.49,42.64,46.94
Air Force,35.58,48.18,43.66,29.63,67.67,54.82,41.1,17.88,59.5,71.1,40.36,62.21,79.62
Akron,66.16,66.98,58.72,41.49,89.87,48.51,41.31,46.51,36.56,70.97,31.62,53.1,68.39
Alabama,77.83,39.19,92.23,32.76,40.13,74.35,71.7,83.35,67.09,39.23,62.6,67.28,62.34
Alabama A&M,2.41,9.22,19.83,38.12,9.3,14.32,55.15,18.03,47.76,28.88,13.98,52.57,59.32
Alabama St,8.07,15.37,31.8,65.49,31.66,43.63,83.27,40.74,74.76,11.18,30.77,49.0,30.12
Albany NY,54.88,52.43,68.19,38.08,28.97,41.52,60.52,10.42,43.01,50.39,30.92,48.66,76.18
Alcorn St,25.22,29.8,42.17,62.0,40.7,53.12,65.11,47.68,56.21,45.52,58.33,39.3,35.68
American Univ,18.9,14.15,62.27,17.73,25.24,23.27,15.81,28.19,56.16,31.79,65.54,31.73,42.97
Appalachian St,27.11,50.93,32.38,70.88,65.6,58.98,72.26,41.31,67.61,58.0,41.95,63.82,26.13
Arizona,92.63,72.97,90.33,26.27,36.87,78.13,57.41,59.69,42.17,64.92,42.2,75.41,86.04
Arizona St,57.55,80.79,37.58,68.08,83.1,48.2,37.76,63.1,29.54,53.56,53.0,56.48,72.64
Ark Little Rock,34.09,19.19,75.27,30.29,24.99,32.25,40.21,57.18,51.48,26.34,41.0,31.64,60.32
Ark Pine Bluff,4.73,8.08,37.29,33.52,35.33,11.71,53.96,37.6,90.52,17.85,80.17,33.38,13.34
Arkansas,85.68,90.65,60.15,72.82,39.59,62.07,66.92,86.58,30.35,75.51,78.91,78.97,45.02
Arkansas St,61.07,58.33,63.01,44.41,43.26,60.77,60.36,36.2,49.24,47.3,40.57,76.85,40.77
Army,35.68,51.35,37.48,71.79,81.45,71.07,45.96,15.3,72.27,82.31,33.98,31.0,56.88
Auburn,71.45,89.61,40.54,79.14,71.19,65.04,67.48,89.43,60.22,62.17,80.51,84.17,43.48
Austin Peay,23.21,63.05,15.92,52.42,50.43,27.57,31.16,31.74,44.83,23.37,36.28,71.12,65.08
Ball St,50.51,64.68,36.74,58.02,77.68,65.44,42.88,55.99,77.53,70.31,39.58,50.33,42.02
Baylor,95.08,70.88,95.79,48.17,44.73,71.02,78.26,86.39,45.16,87.32,44.45,51.47,85.38
Belmont,71.73,71.38,60.25,58.62,85.41,71.82,31.41,34.17,46.96,84.78,26.75,30.0,60.8
Bethune-Cookman,8.39,25.38,24.08,73.32,34.79,16.71,54.25,32.75,47.01,49.95,73.49,29.73,39.64
Binghamton,17.77,21.56,51.87,32.01,59.03,48.85,28.27,22.75,51.0,38.74,25.02,33.74,65.79
Boise St,69.49,73.76,58.64,41.03,60.24,72.23,48.43,33.51,56.25,48.53,30.99,79.65,43.79
Boston College,46.96,64.82,47.57,60.68,66.41,73.56,29.79,40.86,76.69,77.24,43.55,39.55,48.5
Boston Univ,47.66,53.37,51.67,59.31,71.29,52.8,51.97,27.71,70.76,57.97,73.23,52.61,48.52
Bowling Green,34.25,51.72,37.57,70.15,47.29,45.95,63.26,30.78,48.01,37.98,60.02,58.38,67.91
Bradley,35.55,36.79,63.14,20.36,34.3,65.54,34.4,59.76,75.93,34.73,56.11,70.9,40.96
Brown,26.25,67.93,17.91,40.16,69.33,18.72,37.14,12.69,74.91,54.82,71.86,78.83,39.02
Bryant,25.42,50.42,29.74,62.65,59.02,45.82,50.19,16.33,52.94,68.09,60.04,48.73,40.86
Bucknell,75.7,73.46,64.47,53.24,74.13,57.46,35.96,55.89,57.59,74.77,70.84,56.88,62.35
Buffalo,60.28,67.41,47.35,70.75,59.54,79.0,74.24,62.7,72.62,67.75,46.72,70.13,31.02
Butler,92.36,82.02,85.16,40.58,66.04,48.94,33.77,46.74,17.75,59.47,55.34,59.8,65.88
BYU,77.73,90.63,48.74,75.86,46.96,92.51,55.18,80.19,78.46,85.44,70.32,86.82,49.9
C Michigan,37.12,89.61,7.17,93.36,95.18,62.77,62.4,36.81,27.93,28.4,29.34,64.8,44.75
Cal Poly SLO,19.69,33.85,38.3,57.63,64.51,30.22,47.87,52.38,27.14,25.6,32.28,40.41,44.09
California,81.08,40.89,93.1,34.59,34.65,85.87,66.44,84.35,57.85,44.59,24.64,59.86,73.58
Campbell,25.06,29.39,49.27,18.01,48.41,33.25,15.64,57.07,55.97,20.59,51.11,48.29,43.93
Canisius,47.23,73.9,33.1,73.81,82.67,20.91,58.8,16.32,56.61,91.49,69.01,42.18,63.27
Cent Arkansas,18.2,60.08,12.36,77.19,48.91,62.32,60.13,36.01,50.75,74.22,46.53,61.65,61.7
Central Conn,7.48,14.33,37.78,38.87,21.47,16.75,62.48,20.07,62.63,35.54,44.55,39.94,65.66
Charleston So,18.17,47.56,20.78,62.73,46.35,34.94,45.2,43.13,28.59,25.23,30.09,59.14,32.47
Charlotte,32.92,66.24,22.41,65.34,55.8,52.01,19.22,51.69,53.45,44.34,48.45,59.73,46.53
Chattanooga,66.35,52.84,71.98,36.33,46.26,18.5,56.23,78.9,57.88,37.12,74.72,59.88,55.9
Chicago St,10.15,19.42,32.2,61.07,41.15,39.14,48.26,30.27,51.92,26.37,57.19,31.82,59.27
Cincinnati,93.02,64.69,93.9,62.43,49.34,59.67,71.73,89.06,23.98,84.46,72.64,47.04,87.58
Citadel,23.21,87.69,4.51,96.23,95.2,37.6,74.85,27.23,68.21,82.46,77.89,65.0,14.0
Clemson,84.28,78.23,74.8,55.26,60.29,47.91,53.24,71.53,24.26,59.51,78.21,61.98,93.65
Cleveland St,30.57,22.09,68.46,50.81,48.68,19.87,61.21,39.36,50.18,24.01,66.85,44.42,47.56
Coastal Car,40.65,49.21,55.39,78.19,71.6,73.97,72.5,32.86,47.47,35.96,37.62,29.3,65.26
Col Charleston,73.39,40.33,85.42,22.55,32.02,62.42,37.88,57.71,30.89,20.81,44.19,72.05,79.33
Colgate,25.66,23.41,57.78,20.38,67.7,38.73,26.01,30.43,71.42,46.95,29.8,45.2,46.12
Colorado,75.89,75.78,67.33,49.78,48.54,74.42,71.35,81.8,57.63,65.29,32.01,78.04,66.0
Colorado St,70.86,52.92,75.18,49.43,49.55,76.19,66.53,60.64,36.5,27.47,41.79,68.5,77.28
Columbia,32.89,48.29,42.85,63.75,70.09,43.22,51.6,40.12,59.72,80.15,55.96,35.82,53.45
Connecticut,66.09,42.95,87.13,28.12,34.63,81.45,44.47,86.28,45.57,58.89,24.35,48.23,77.1
Coppin St,8.64,22.3,19.71,46.62,44.8,27.16,58.35,25.52,57.82,20.5,48.01,71.95,41.66
Cornell,24.74,45.17,34.78,45.46,65.41,62.59,17.73,31.42,67.29,72.0,31.83,37.88,60.25
Creighton,89.54,90.81,69.37,77.42,74.29,80.59,23.75,56.61,42.01,90.69,52.89,38.1,80.64
CS Bakersfield,65.37,33.15,85.5,41.9,27.07,56.72,74.3,69.34,74.97,61.05,81.69,56.34,36.62
CS Fullerton,23.34,34.26,46.71,37.59,25.2,46.76,49.71,53.46,85.89,26.41,59.78,63.98,40.25
CS Northridge,25.41,71.89,15.7,61.54,10.64,51.92,46.35,40.04,61.92,48.56,63.51,86.39,27.92
CS Sacramento,19.99,26.23,43.62,39.9,15.5,44.99,38.28,64.9,35.97,50.69,27.0,46.0,70.86
Dartmouth,16.33,32.66,37.08,29.19,60.72,47.44,36.87,15.69,78.57,42.07,23.06,41.15,62.28
Davidson,69.66,67.46,67.62,67.48,81.5,73.92,36.2,52.3,37.11,79.9,47.9,41.05,64.56
Dayton,86.93,77.62,79.86,38.82,70.96,68.29,28.61,62.41,41.65,80.89,76.4,74.94,63.26
Delaware,23.42,19.5,54.83,39.19,26.91,57.92,50.28,46.84,46.04,36.85,41.54,43.86,50.8
Delaware St,10.04,19.74,30.99,43.7,59.24,15.21,41.01,32.88,59.25,44.76,44.86,36.57,50.18
Denver,46.1,55.53,47.07,32.17,45.32,58.77,33.69,24.31,58.57,70.01,28.38,52.95,51.86
DePaul,40.56,44.02,58.85,40.91,34.88,36.26,54.09,45.2,69.28,34.85,62.58,56.11,46.55
Detroit,19.28,66.02,13.29,63.91,66.75,34.18,53.8,27.07,75.36,49.71,59.85,78.03,21.2
Drake,24.89,52.33,31.48,79.58,73.51,43.7,49.33,31.06,40.03,52.66,59.5,35.57,70.69
Drexel,29.47,61.64,29.01,74.71,61.77,51.9,72.2,42.34,67.29,70.18,53.72,56.93,41.63
Duke,93.32,90.83,82.16,58.78,72.66,75.17,57.9,82.8,35.47,68.58,49.99,73.28,78.53
Duquesne,37.71,48.83,45.76,65.77,49.79,64.86,61.75,62.28,66.14,40.75,33.43,57.6,59.81
